vtkOriginalIndices,Concentration,ConcentrationLiquide,ConcentrationSolide,ConductiviteThermiqueP0,DensityFluideP0,DensityP0,DensityP1,EnthalpieVol,ErrReg,FractionLiq_c,FractionSolide_c,GradrholBis_P0:0,GradrholBis_P0:1,GradrholBis_P0:2,MassBalanceRHS_P0,PartitionE,Points:0,Points:1,Points:2,TemperatureC,ViscosityP0,Vitesse0,Vitesse1,Vitesse:2,__vtkIsSelected__,arc_length,d_interface_regular,divV_element,h_meshsize,h_quality,vtkValidPointMask
36,7.07978,4.80399,7.07978,70,2600,2800,2800,1.2084e+009,100,4.29208e-012,1,740929,286259,0,0,1,0.0005,0.00504,0,464.772,0.001,4.30472e-019,2.10689e-016,0,0,0.00504,0.0896204,9.921e-015,0.000134593,0.809735,1
37,7.09061,1.98413,7.09061,70,2600,2800,2800,1.20931e+009,100,2.5089e-012,1,-287459,-812693,0,0,1,0.0005,0.00518,0,465.119,0.001,-2.04776e-018,2.16874e-016,0,0,0.00518,0.0894804,7.82237e-014,0.000133859,0.797233,1
38,7.08664,3.09119,7.08664,70,2600,2800,2800,1.21021e+009,100,1.15699e-012,1,-657623,357873,0,0,1,0.0005,0.00532,0,465.466,0.001,3.24436e-019,2.24207e-016,0,0,0.00532,0.0893404,6.63945e-014,0.000152991,0.928589,1
39,7.04094,0,7.04094,70,2600,2800,2800,1.21111e+009,100,1.09484e-016,1,-0.0625043,-611.166,0,0,1,0.0005,0.00546,0,465.812,0.001,7.54562e-018,2.25349e-016,0,0,0.00546,0.0892004,-9.84044e-015,0.000158712,0.885948,1
40,7.10332,0,7.10332,70,2600,2800,2800,1.21201e+009,100,2.16684e-017,1,0.00964537,-611.045,0,0,1,0.0005,0.0056,0,466.158,0.001,3.17294e-018,2.29556e-016,0,0,0.0056,0.0890604,4.62753e-014,0.000177084,0.697503,1
41,7.02243,5.11541,7.02243,70,2600,2800,2800,1.21291e+009,100,2.2413e-011,1,-729894,-566810,0,0,1,0.0005,0.00574,0,466.505,0.001,4.22325e-019,2.38827e-016,0,0,0.00574,0.0889204,-4.66703e-015,0.000186715,0.606778,1
42,7.08598,0.274641,7.08598,70,2600,2800,2800,1.21381e+009,100,9.79545e-013,1,-743686,-226236,0,0,1,0.0005,0.00588,0,466.85,0.001,9.95872e-019,2.36775e-016,0,0,0.00588,0.0887804,-2.61531e-014,0.000160233,0.861358,1
43,7.08918,0,7.08918,70,2600,2800,2800,1.21471e+009,100,3.01915e-017,1,0.0411128,-610.221,0,0,1,0.0005,0.00602,0,467.196,0.001,-1.82962e-018,2.40969e-016,0,0,0.00602,0.0886404,1.3166e-013,0.000137011,0.855864,1
44,7.05996,3.78478,7.05996,70,2600,2800,2800,1.21561e+009,100,9.4545e-013,1,-706105,-304889,0,0,1,0.0005,0.00616,0,467.542,0.001,-2.85623e-018,2.46513e-016,0,0,0.00616,0.0885004,1.09423e-013,0.000157956,0.899348,1
45,7.06252,0,7.06252,70,2600,2800,2800,1.21651e+009,100,1.06299e-015,1,0.00962262,-609.631,0,0,1,0.0005,0.0063,0,467.888,0.001,4.98866e-020,2.55715e-016,0,0,0.0063,0.0883604,1.07061e-013,0.000154889,0.878195,1
46,7.07042,2.50476,7.07042,70,2600,2800,2800,1.21741e+009,100,6.25339e-013,1,-203242,795760,0,0,1,0.0005,0.00644,0,468.233,0.001,2.55315e-018,2.62732e-016,0,0,0.00644,0.0882204,1.54391e-013,0.000143398,0.915019,1
47,7.05655,5.66447,7.05655,70,2600,2800,2800,1.21831e+009,100,8.56382e-012,1,934841,-362559,0,0,1,0.0005,0.00658,0,468.578,0.001,2.18555e-018,2.64571e-016,0,0,0.00658,0.0880804,-1.23518e-013,0.000132413,0.789422,1
48,7.04871,4.93461,7.04871,70,2600,2800,2800,1.2192e+009,100,1.2701e-011,1,877984,251579,0,0,1,0.0005,0.00672,0,468.924,0.001,4.67618e-018,2.70204e-016,0,0,0.00672,0.0879404,1.17241e-014,0.000152428,0.895903,1
49,7.07264,5.53122,7.07264,70,2600,2800,2800,1.2201e+009,100,1.3977e-012,1,-474340,-670844,0,0,1,0.0005,0.00686,0,469.269,0.001,-5.41101e-020,2.81749e-016,0,0,0.00686,0.0878004,4.90022e-014,0.000162726,0.83662,1
50,7.04869,1.09704,7.04869,70,2600,2800,2800,1.22099e+009,100,2.45193e-012,1,665706,-226438,0,0,1,0.0005,0.007,0,469.614,0.001,4.3839e-018,2.81094e-016,0,0,0.007,0.0876603,9.5902e-015,0.000165717,0.818542,1
51,7.04934,1.19533,7.04934,70,2600,2800,2800,1.22189e+009,100,2.9924e-013,1,-664634,224857,0,0,1,0.0005,0.00714,0,469.959,0.001,7.86763e-018,2.8719e-016,0,0,0.00714,0.0875204,1.18188e-013,0.00016712,0.801989,1
52,7.02012,4.2489,7.02012,70,2600,2800,2800,1.22279e+009,100,2.15064e-012,1,-853623,263700,0,0,1,0.0005,0.00728,0,470.303,0.001,6.30533e-018,2.94015e-016,0,0,0.00728,0.0873804,-5.0281e-015,0.000164972,0.807309,1
53,7.06559,4.64985,7.06559,70,2600,2800,2800,1.22368e+009,100,1.18181e-012,1,-1.02202e+006,-372332,0,0,1,0.0005,0.00742,0,470.648,0.001,5.89048e-018,2.92057e-016,0,0,0.00742,0.0872404,-8.63312e-015,0.000130425,0.76908,1
54,7.04641,5.2966,7.04641,70,2600,2800,2800,1.22458e+009,100,5.54785e-012,1,29918.2,1.09031e+006,0,0,1,0.0005,0.00756,0,470.992,0.001,2.86626e-018,3.02236e-016,0,0,0.00756,0.0871004,1.17685e-013,0.00012545,0.709673,1
55,7.01749,6.14826,7.01749,70,2600,2800,2800,1.22547e+009,100,1.81283e-011,1,-550151,4628.02,0,0,1,0.0005,0.0077,0,471.336,0.001,1.55086e-018,3.13004e-016,0,0,0.0077,0.0869603,8.17823e-014,0.000166873,0.779348,1
56,7.03363,4.02342,7.03363,70,2600,2800,2800,1.22637e+009,100,1.026e-012,1,-746824,-444533,0,0,1,0.0005,0.00784,0,471.68,0.001,6.25263e-018,3.15652e-016,0,0,0.00784,0.0868204,1.46777e-013,0.000131797,0.772972,1
57,7.05916,1.25276,7.05916,70,2600,2800,2800,1.22726e+009,100,2.94785e-012,1,285186,694522,0,0,1,0.0005,0.00798,0,472.024,0.001,5.58459e-018,3.24773e-016,0,0,0.00798,0.0866803,5.22228e-014,0.00013898,0.860255,1
58,6.9911,6.50785,6.9911,70,2600,2800,2800,1.22816e+009,100,1.35704e-011,1,-681062,-155802,0,0,1,0.0005,0.00812,0,472.368,0.001,2.12684e-018,3.24936e-016,0,0,0.00812,0.0865403,2.58003e-014,0.000153514,0.950713,1
59,7.04943,5.59718,7.04943,70,2600,2800,2800,1.22905e+009,100,2.75848e-012,1,-643477,165992,0,0,1,0.0005,0.00826,0,472.711,0.001,5.13469e-019,3.31331e-016,0,0,0.00826,0.0864004,5.29229e-014,0.000145341,0.894485,1
60,7.02446,3.96604,7.02446,70,2600,2800,2800,1.22994e+009,100,4.00308e-012,1,327076,-829693,0,0,1,0.0005,0.0084,0,473.055,0.001,1.88069e-018,3.37151e-016,0,0,0.0084,0.0862604,-9.95362e-014,0.000151444,0.908849,1
61,7.02076,4.32527,7.02076,70,2600,2800,2800,1.23084e+009,100,2.49281e-012,1,-267810,878224,0,0,1,0.0005,0.00854,0,473.398,0.001,3.6315e-018,3.42646e-016,0,0,0.00854,0.0861204,-1.18196e-014,0.000155962,0.878524,1
62,7.04294,2.6916,7.04294,70,2600,2800,2800,1.23173e+009,100,3.00164e-012,1,521096,-214220,0,0,1,0.0005,0.00868,0,473.741,0.001,2.35558e-018,3.47058e-016,0,0,0.00868,0.0859804,1.10024e-014,0.00016231,0.828435,1
63,7.03633,2.01827,7.03633,70,2600,2800,2800,1.23262e+009,100,5.87511e-012,1,686371,-99628.4,0,0,1,0.0005,0.00882,0,474.083,0.001,2.99298e-018,3.51681e-016,0,0,0.00882,0.0858404,2.70182e-014,0.000174096,0.738292,1
64,7.00909,3.06021,7.00909,70,2600,2800,2800,1.23351e+009,100,5.50157e-012,1,-66739.1,785691,0,0,1,0.0005,0.00896,0,474.426,0.001,2.59461e-018,3.5607e-016,0,0,0.00896,0.0857004,-5.55321e-015,0.000152091,0.965228,1
