vtkOriginalIndices,Concentration,ConcentrationLiquide,ConcentrationSolide,ConductiviteThermiqueP0,DensityFluideP0,DensityP0,DensityP1,EnthalpieVol,ErrReg,FractionLiq_c,FractionSolide_c,GradrholBis_P0:0,GradrholBis_P0:1,GradrholBis_P0:2,MassBalanceRHS_P0,PartitionE,Points:0,Points:1,Points:2,TemperatureC,ViscosityP0,Vitesse:0,Vitesse:1,Vitesse:2,__vtkIsSelected__,arc_length,d_interface_regular,divV_element,h_meshsize,h_quality,vtkValidPointMask
31,7.09037,5.55891,7.09037,70,2600,2800,2800,1.09588e+009,100,3.32127e-011,1,-810049,-147204,0,0,0,0.0005,0.00434,0,421.494,0.001,-3.41604e-014,-6.07978e-013,0,0,0.00434,0.0884983,-3.50316e-010,0.000154329,0.935667,1
32,7.10008,5.48211,7.10008,70,2600,2800,2800,1.09668e+009,100,1.23513e-012,1,-619565,486499,0,0,0,0.0005,0.00448,0,421.8,0.001,-1.5693e-014,-6.68151e-013,0,0,0.00448,0.0883583,-2.7503e-011,0.000145021,0.938795,1
33,7.08726,4.62476,7.08726,70,2600,2800,2800,1.09748e+009,100,1.71062e-012,1,-10330.1,-816220,0,0,0,0.0005,0.00462,0,422.107,0.001,-1.22698e-014,-6.71409e-013,0,0,0.00462,0.0882183,1.39015e-012,0.000144781,0.933972,1
34,7.09639,3.3584,7.09639,70,2600,2800,2800,1.09828e+009,100,6.50878e-013,1,964241,14348,0,0,0,0.0005,0.00476,0,422.414,0.001,-5.79784e-015,-6.85322e-013,0,0,0.00476,0.0880783,1.42757e-010,0.000155896,0.833267,1
35,7.09206,2.6544,7.09206,70,2600,2800,2800,1.09907e+009,100,2.98756e-012,1,637609,237823,0,0,0,0.0005,0.0049,0,422.72,0.001,1.1879e-014,-6.93862e-013,0,0,0.0049,0.0879382,-3.00899e-010,0.000159028,0.882699,1
36,7.07976,4.80396,7.07976,70,2600,2800,2800,1.09987e+009,100,3.36519e-012,1,740925,286328,0,0,0,0.0005,0.00504,0,423.027,0.001,3.45595e-014,-7.19849e-013,0,0,0.00504,0.0877983,1.62712e-010,0.000134593,0.809735,1
37,7.09061,1.98411,7.09061,70,2600,2800,2800,1.10067e+009,100,1.963e-012,1,-287459,-812617,0,0,0,0.0005,0.00518,0,423.333,0.001,2.26709e-014,-7.53266e-013,0,0,0.00518,0.0876584,7.69869e-011,0.000133859,0.797233,1
38,7.08664,3.09119,7.08664,70,2600,2800,2800,1.10146e+009,100,9.11415e-013,1,-657623,357945,0,0,0,0.0005,0.00532,0,423.639,0.001,3.01724e-015,-7.75706e-013,0,0,0.00532,0.0875182,-7.81895e-011,0.000152991,0.928589,1
39,7.04094,0,7.04094,70,2600,2800,2800,1.10226e+009,100,1.32878e-016,1,-0.0666105,-539.395,0,0,0,0.0005,0.00546,0,423.945,0.001,1.88148e-014,-7.87718e-013,0,0,0.00546,0.0873783,-2.79325e-010,0.000158712,0.885948,1
40,7.10333,0,7.10333,70,2600,2800,2800,1.10305e+009,100,1.19611e-016,1,0.0103556,-539.266,0,0,0,0.0005,0.0056,0,424.251,0.001,6.69371e-015,-8.1116e-013,0,0,0.0056,0.0872382,-3.36519e-010,0.000177084,0.697503,1
41,7.0224,5.11538,7.0224,70,2600,2800,2800,1.10384e+009,100,5.3994e-011,1,-729888,-566734,0,0,0,0.0005,0.00574,0,424.556,0.001,-5.56092e-015,-8.14298e-013,0,0,0.00574,0.0870983,8.80438e-011,0.000186715,0.606778,1
42,7.086,0.274639,7.086,70,2600,2800,2800,1.10464e+009,100,7.60696e-013,1,-743680,-226162,0,0,0,0.0005,0.00588,0,424.862,0.001,-7.04838e-015,-8.20568e-013,0,0,0.00588,0.0869584,-2.80949e-010,0.000160233,0.861358,1
43,7.0892,1.3082,7.0892,70,2600,2800,2800,1.10543e+009,100,5.47264e-013,1,278327,651469,0,0,0,0.0005,0.00602,0,425.167,0.001,-7.78133e-015,-8.53765e-013,0,0,0.00602,0.0868182,-4.38154e-010,0.000137011,0.855864,1
44,7.05996,5.00687,7.05996,70,2600,2800,2800,1.10622e+009,100,1.25689e-012,1,-123039,-681217,0,0,0,0.0005,0.00616,0,425.472,0.001,-8.41016e-015,-8.68425e-013,0,0,0.00616,0.0866783,-2.96203e-010,0.000157956,0.899348,1
45,7.06252,0,7.06252,70,2600,2800,2800,1.10702e+009,100,1.31811e-014,1,0.010294,-537.756,0,0,0,0.0005,0.0063,0,425.777,0.001,-1.78684e-014,-8.89475e-013,0,0,0.0063,0.0865384,-3.68507e-010,0.000154889,0.878195,1
46,7.07043,2.50476,7.07043,70,2600,2800,2800,1.10781e+009,100,4.80037e-013,1,-203243,795833,0,0,0,0.0005,0.00644,0,426.082,0.001,-1.42821e-014,-8.95974e-013,0,0,0.00644,0.0863983,-7.13399e-011,0.000143398,0.915019,1
47,7.05654,5.66446,7.05654,70,2600,2800,2800,1.1086e+009,100,6.58019e-012,1,934838,-362491,0,0,0,0.0005,0.00658,0,426.386,0.001,-1.05633e-014,-9.11078e-013,0,0,0.00658,0.0862584,-9.37357e-012,0.000132413,0.789422,1
