Result	Concentration_M	FractionBCC_c	FractionFCC_c	FractionCEM_c	arc_length
0.100955	0.100955	0.986083	0	0.0139169	0.00168842
0.101059	0.101059	0.986077	0	0.0139231	0.00169476
0.101162	0.101162	0.986071	0	0.0139293	0.00170111
0.101266	0.101266	0.986065	0	0.0139354	0.00170746
0.10137	0.10137	0.986059	0	0.0139416	0.00171381
0.101473	0.101473	0.986053	0	0.0139478	0.00172015
0.101577	0.101577	0.986046	0	0.0139539	0.0017265
0.101681	0.101681	0.98604	0	0.0139601	0.00173285
0.101784	0.101784	0.986034	0	0.0139663	0.0017392
0.101888	0.101888	0.986028	0	0.0139724	0.00174554
0.101992	0.101992	0.986022	0	0.0139786	0.00175189
0.10199	0.10199	0.986032	0	0.0139688	0.00175824
0.101944	0.101944	0.986048	0	0.0139523	0.00176459
0.101899	0.101899	0.986064	0	0.0139359	0.00177093
0.101853	0.101853	0.986081	0	0.0139195	0.00177728
0.101807	0.101807	0.986097	0	0.013903	0.00178363
0.101762	0.101762	0.986114	0	0.0138866	0.00178998
0.101716	0.101716	0.98613	0	0.0138702	0.00179632
0.10167	0.10167	0.986146	0	0.0138537	0.00180267
0.101625	0.101625	0.986163	0	0.0138373	0.00180902
0.101596	0.101596	0.986177	0	0.0138232	0.00181536
0.101635	0.101635	0.986181	0	0.0138192	0.00182171
0.101675	0.101675	0.986185	0	0.0138153	0.00182806
0.101714	0.101714	0.986189	0	0.0138113	0.00183441
0.101753	0.101753	0.986193	0	0.0138073	0.00184075
0.101793	0.101793	0.986197	0	0.0138033	0.0018471
0.101832	0.101832	0.986201	0	0.0137993	0.00185345
0.101872	0.101872	0.986205	0	0.0137953	0.0018598
0.101911	0.101911	0.986209	0	0.0137913	0.00186614
0.101951	0.101951	0.986213	0	0.0137873	0.00187249
0.10199	0.10199	0.986217	0	0.0137833	0.00187884
0.10203	0.10203	0.986221	0	0.0137793	0.00188519
0.102069	0.102069	0.986225	0	0.0137753	0.00189153
0.102109	0.102109	0.986229	0	0.0137714	0.00189788
0.102148	0.102148	0.986233	0	0.0137674	0.00190423
0.102188	0.102188	0.986237	0	0.0137634	0.00191058
0.102227	0.102227	0.986241	0	0.0137594	0.00191692
0.102198	0.102198	0.986255	0	0.0137449	0.00192327
0.102159	0.102159	0.986271	0	0.0137289	0.00192962
0.102121	0.102121	0.986287	0	0.0137129	0.00193597
0.102082	0.102082	0.986303	0	0.013697	0.00194231
0.102043	0.102043	0.986319	0	0.013681	0.00194866
0.102004	0.102004	0.986335	0	0.013665	0.00195501
0.101966	0.101966	0.986351	0	0.0136491	0.00196136
0.101927	0.101927	0.986367	0	0.0136331	0.0019677
0.101888	0.101888	0.986383	0	0.0136171	0.00197405
0.10185	0.10185	0.986399	0	0.0136012	0.0019804
0.101811	0.101811	0.986415	0	0.0135852	0.00198675
0.101772	0.101772	0.986431	0	0.0135692	0.00199309
0.101733	0.101733	0.986447	0	0.0135533	0.00199944
0.101706	0.101706	0.986462	0	0.013539	0.00200579
0.101723	0.101723	0.98647	0	0.0135311	0.00201214
0.101739	0.101739	0.986477	0	0.0135231	0.00201848
0.101755	0.101755	0.986485	0	0.0135152	0.00202483
0.101771	0.101771	0.986493	0	0.0135073	0.00203118
0.101787	0.101787	0.986501	0	0.0134993	0.00203752
0.101803	0.101803	0.986509	0	0.0134914	0.00204387
0.101819	0.101819	0.986517	0	0.0134835	0.00205022
0.101835	0.101835	0.986525	0	0.0134755	0.00205657
0.101851	0.101851	0.986533	0	0.0134676	0.00206291
0.101867	0.101867	0.986541	0	0.0134597	0.00206926
0.101884	0.101884	0.986549	0	0.0134517	0.00207561
0.1019	0.1019	0.986557	0	0.0134438	0.00208196
0.101916	0.101916	0.986564	0	0.0134359	0.0020883
0.101941	0.101941	0.986571	0	0.0134292	0.00209465
0.101973	0.101973	0.986577	0	0.0134235	0.002101
0.102006	0.102006	0.986582	0	0.0134178	0.00210735
0.102038	0.102038	0.986588	0	0.0134121	0.00211369
0.102071	0.102071	0.986594	0	0.0134064	0.00212004
0.102103	0.102103	0.986599	0	0.0134007	0.00212639
0.102136	0.102136	0.986605	0	0.013395	0.00213274
0.102168	0.102168	0.986611	0	0.0133893	0.00213908
0.102201	0.102201	0.986616	0	0.0133836	0.00214543
0.102233	0.102233	0.986622	0	0.0133779	0.00215178
0.102266	0.102266	0.986627	0	0.0133722	0.00215813
0.102298	0.102298	0.986633	0	0.0133666	0.00216447
0.102331	0.102331	0.986639	0	0.0133609	0.00217082
0.102363	0.102363	0.986644	0	0.0133552	0.00217717
0.102364	0.102364	0.986655	0	0.0133446	0.00218352
0.102361	0.102361	0.986666	0	0.0133335	0.00218986
0.102357	0.102357	0.986677	0	0.0133223	0.00219621
0.102354	0.102354	0.986688	0	0.0133111	0.00220256
0.102351	0.102351	0.9867	0	0.0132999	0.00220891
0.102347	0.102347	0.986711	0	0.0132888	0.00221525
0.102344	0.102344	0.986722	0	0.0132776	0.0022216
0.10234	0.10234	0.986733	0	0.0132664	0.00222795
0.102337	0.102337	0.986744	0	0.0132552	0.0022343
0.102334	0.102334	0.986756	0	0.0132441	0.00224064
0.10233	0.10233	0.986767	0	0.0132329	0.00224699
0.102327	0.102327	0.986778	0	0.0132217	0.00225334
0.102324	0.102324	0.986789	0	0.0132106	0.00225968
0.102324	0.102324	0.9868	0	0.0131999	0.00226603
0.102337	0.102337	0.986809	0	0.0131911	0.00227238
0.102351	0.102351	0.986818	0	0.0131822	0.00227873
0.102364	0.102364	0.986826	0	0.0131734	0.00228507
0.102378	0.102378	0.986835	0	0.0131646	0.00229142
0.102391	0.102391	0.986844	0	0.0131557	0.00229777
0.102405	0.102405	0.986853	0	0.0131469	0.00230412
0.102418	0.102418	0.986862	0	0.013138	0.00231046
0.102432	0.102432	0.986871	0	0.0131292	0.00231681
0.102445	0.102445	0.986879	0	0.0131204	0.00232316
0.102459	0.102459	0.986888	0	0.0131115	0.00232951
0.102473	0.102473	0.986897	0	0.0131027	0.00233585
0.102486	0.102486	0.986906	0	0.0130939	0.0023422
0.1025	0.1025	0.986915	0	0.013085	0.00234855
0.102513	0.102513	0.986924	0	0.0130762	0.0023549
0.102527	0.102527	0.986933	0	0.0130674	0.00236124
0.10254	0.10254	0.986941	0	0.0130585	0.00236759
0.102554	0.102554	0.98695	0	0.0130497	0.00237394
0.102567	0.102567	0.986959	0	0.0130409	0.00238029
0.102555	0.102555	0.986972	0	0.0130282	0.00238663
0.102544	0.102544	0.986984	0	0.0130155	0.00239298
0.102532	0.102532	0.986997	0	0.0130028	0.00239933
0.10252	0.10252	0.98701	0	0.0129901	0.00240568
0.102509	0.102509	0.987023	0	0.0129774	0.00241202
0.102497	0.102497	0.987035	0	0.0129648	0.00241837
0.102485	0.102485	0.987048	0	0.0129521	0.00242472
0.102474	0.102474	0.987061	0	0.0129394	0.00243107
0.102462	0.102462	0.987073	0	0.0129267	0.00243741
0.10245	0.10245	0.987086	0	0.012914	0.00244376
0.102439	0.102439	0.987099	0	0.0129014	0.00245011
0.102427	0.102427	0.987111	0	0.0128887	0.00245646
0.102415	0.102415	0.987124	0	0.012876	0.0024628
0.102404	0.102404	0.987137	0	0.0128633	0.00246915
0.102392	0.102392	0.987149	0	0.0128506	0.0024755
0.10238	0.10238	0.987162	0	0.012838	0.00248185
0.102369	0.102369	0.987175	0	0.0128253	0.00248819
0.102357	0.102357	0.987188	0	0.0128126	0.00249454
0.102345	0.102345	0.9872	0	0.0127999	0.00250089
0.102334	0.102334	0.987213	0	0.0127872	0.00250723
0.102322	0.102322	0.987226	0	0.0127745	0.00251358
0.102311	0.102311	0.987238	0	0.012762	0.00251993
0.102302	0.102302	0.987251	0	0.0127496	0.00252628
0.102292	0.102292	0.987263	0	0.0127371	0.00253262
0.102282	0.102282	0.987275	0	0.0127247	0.00253897
0.102273	0.102273	0.987288	0	0.0127123	0.00254532
0.102263	0.102263	0.9873	0	0.0126998	0.00255167
0.102253	0.102253	0.987313	0	0.0126874	0.00255801
0.102244	0.102244	0.987325	0	0.0126749	0.00256436
0.102234	0.102234	0.987337	0	0.0126625	0.00257071
0.102224	0.102224	0.98735	0	0.0126501	0.00257706
0.102215	0.102215	0.987362	0	0.0126376	0.0025834
0.102205	0.102205	0.987375	0	0.0126252	0.00258975
0.102195	0.102195	0.987387	0	0.0126128	0.0025961
0.102186	0.102186	0.9874	0	0.0126003	0.00260245
0.102176	0.102176	0.987412	0	0.0125879	0.00260879
0.102166	0.102166	0.987424	0	0.0125754	0.00261514
0.102157	0.102157	0.987437	0	0.012563	0.00262149
0.102147	0.102147	0.987449	0	0.0125506	0.00262784
0.102138	0.102138	0.987462	0	0.0125381	0.00263418
0.102128	0.102128	0.987474	0	0.0125257	0.00264053
0.102118	0.102118	0.987486	0	0.0125132	0.00264688
0.10211	0.10211	0.986735	0.000850394	0.0124139	0.00265323
0.102113	0.102113	0.98173	0.00643946	0.0118302	0.00265957
0.102116	0.102116	0.976725	0.0120285	0.0112466	0.00266592
0.102119	0.102119	0.971719	0.0176176	0.0106629	0.00267227
0.102122	0.102122	0.966714	0.0232067	0.0100793	0.00267862
0.102125	0.102125	0.961708	0.0287957	0.00949561	0.00268496
0.102128	0.102128	0.956703	0.0343848	0.00891195	0.00269131
0.10213	0.10213	0.951698	0.0399739	0.00832829	0.00269766
0.102133	0.102133	0.946692	0.0455629	0.00774463	0.00270401
0.102136	0.102136	0.941687	0.051152	0.00716097	0.00271035
0.102139	0.102139	0.936681	0.0567411	0.00657732	0.0027167
0.102142	0.102142	0.931676	0.0623301	0.00599366	0.00272305
0.102145	0.102145	0.926671	0.0679192	0.00541	0.00272939
0.102147	0.102147	0.921665	0.0735083	0.00482634	0.00273574
0.10215	0.10215	0.91666	0.0790973	0.00424268	0.00274209
0.102153	0.102153	0.911654	0.0846864	0.00365903	0.00274844
0.102156	0.102156	0.906649	0.0902755	0.00307537	0.00275478
0.102159	0.102159	0.901644	0.0958645	0.00249171	0.00276113
0.102162	0.102162	0.896638	0.101454	0.00190805	0.00276748
0.102165	0.102165	0.891633	0.107043	0.0013244	0.00277383
0.102167	0.102167	0.886627	0.112632	0.000740737	0.00278017
0.10217	0.10217	0.881622	0.118221	0.000157079	0.00278652
0.102174	0.102174	0.879919	0.120081	0	0.00279287
0.102178	0.102178	0.879432	0.120568	0	0.00279922
0.102182	0.102182	0.878944	0.121056	0	0.00280556
0.102186	0.102186	0.878457	0.121543	0	0.00281191
0.10219	0.10219	0.87797	0.12203	0	0.00281826
0.102194	0.102194	0.877483	0.122517	0	0.00282461
0.102199	0.102199	0.876995	0.123005	0	0.00283095
0.102203	0.102203	0.876508	0.123492	0	0.0028373
0.102207	0.102207	0.876021	0.123979	0	0.00284365
0.102211	0.102211	0.875533	0.124467	0	0.00285
0.102215	0.102215	0.875046	0.124954	0	0.00285634
0.102219	0.102219	0.874559	0.125441	0	0.00286269
0.102223	0.102223	0.874072	0.125928	0	0.00286904
0.102227	0.102227	0.873584	0.126416	0	0.00287539
0.102231	0.102231	0.873097	0.126903	0	0.00288173
0.102235	0.102235	0.87261	0.12739	0	0.00288808
0.102239	0.102239	0.872123	0.127877	0	0.00289443
0.102244	0.102244	0.871635	0.128365	0	0.00290078
0.102248	0.102248	0.871148	0.128852	0	0.00290712
0.102252	0.102252	0.870661	0.129339	0	0.00291347
0.102256	0.102256	0.870174	0.129826	0	0.00291982
0.10226	0.10226	0.869686	0.130314	0	0.00292617
0.102264	0.102264	0.869199	0.130801	0	0.00293251
0.102268	0.102268	0.868712	0.131288	0	0.00293886
0.102268	0.102268	0.868226	0.131774	0	0.00294521
0.102259	0.102259	0.867745	0.132255	0	0.00295155
0.10225	0.10225	0.867264	0.132736	0	0.0029579
0.102241	0.102241	0.866782	0.133217	0	0.00296425
