Compteur	FrequenceCapteur	Temps	TemperatureC	EnthalpieVol	dHsurdT	Concentration	ConcentrationLiquide	ConcentrationBCT_S1	ConcentrationFCC_S1	ConcentrationLiq_S1	FractionBCT_S1	FractionFCC_S1	FractionLiq_S1	CodeConvergence	
210	10	21	259.012	8.21045e+08	1.73933e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
220	10	22	259.012	8.21045e+08	1.73933e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
230	10	23	259.012	8.21045e+08	1.73933e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
240	10	24	259.012	8.21045e+08	1.73933e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
250	10	25	259.012	8.21045e+08	1.73933e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
260	10	26	259.014	8.21049e+08	1.73933e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
270	10	27	259.02	8.21059e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
280	10	28	259.027	8.21071e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
290	10	29	259.034	8.21084e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
300	10	30	259.042	8.21097e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
310	10	31	259.05	8.21111e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
320	10	32	259.058	8.21124e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
330	10	33	259.065	8.21138e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
340	10	34	259.073	8.21151e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
350	10	35	259.081	8.21164e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
360	10	36	259.088	8.21177e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
370	10	37	259.095	8.21189e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
380	10	38	259.102	8.21201e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
390	10	39	259.109	8.21213e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
400	10	40	259.115	8.21224e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
410	10	41	259.121	8.21235e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
420	10	42	259.127	8.21245e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
430	10	43	259.133	8.21255e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
440	10	44	259.138	8.21264e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
450	10	45	259.143	8.21273e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
460	10	46	259.148	8.21282e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
470	10	47	259.153	8.2129e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
480	10	48	259.158	8.21298e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
490	10	49	259.162	8.21306e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
500	10	50	259.166	8.21313e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
510	10	51	259.171	8.2132e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
520	10	52	259.175	8.21328e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
530	10	53	259.179	8.21335e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
540	10	54	259.183	8.21342e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
550	10	55	259.187	8.2135e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
560	10	56	259.192	8.21358e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
570	10	57	259.197	8.21366e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
580	10	58	259.201	8.21374e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
590	10	59	259.207	8.21383e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
600	10	60	259.212	8.21392e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
610	10	61	259.217	8.21401e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
620	10	62	259.223	8.21411e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
630	10	63	259.228	8.21421e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
640	10	64	259.234	8.21431e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
650	10	65	259.24	8.21441e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
660	10	66	259.246	8.21451e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
670	10	67	259.252	8.21461e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
680	10	68	259.258	8.21472e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
690	10	69	259.264	8.21482e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
700	10	70	259.27	8.21493e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
710	10	71	259.276	8.21503e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
720	10	72	259.282	8.21513e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
730	10	73	259.287	8.21524e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
740	10	74	259.293	8.21534e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
750	10	75	259.299	8.21544e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
760	10	76	259.305	8.21555e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
770	10	77	259.311	8.21565e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
780	10	78	259.317	8.21575e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
790	10	79	259.323	8.21585e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
800	10	80	259.329	8.21595e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
810	10	81	259.334	8.21605e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
820	10	82	259.34	8.21615e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
830	10	83	259.346	8.21625e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
840	10	84	259.351	8.21635e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
850	10	85	259.357	8.21645e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
860	10	86	259.363	8.21655e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
870	10	87	259.368	8.21664e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
880	10	88	259.374	8.21674e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
890	10	89	259.379	8.21684e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
900	10	90	259.385	8.21693e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
910	10	91	259.391	8.21703e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
920	10	92	259.396	8.21713e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
930	10	93	259.402	8.21722e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
940	10	94	259.407	8.21732e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
950	10	95	259.413	8.21741e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
960	10	96	259.418	8.21751e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
970	10	97	259.424	8.2176e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
980	10	98	259.429	8.2177e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
990	10	99	259.434	8.21779e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1000	10	100	259.44	8.21789e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1010	10	101	259.446	8.218e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1020	10	102	259.454	8.21813e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1030	10	103	259.462	8.21827e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1040	10	104	259.47	8.21841e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1050	10	105	259.478	8.21855e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1060	10	106	259.487	8.2187e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1070	10	107	259.495	8.21885e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1080	10	108	259.504	8.21899e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1090	10	109	259.512	8.21914e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1100	10	110	259.52	8.21929e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1110	10	111	259.529	8.21944e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1120	10	112	259.537	8.21958e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1130	10	113	259.546	8.21973e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1140	10	114	259.554	8.21987e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1150	10	115	259.562	8.22001e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1160	10	116	259.57	8.22015e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1170	10	117	259.578	8.22029e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1180	10	118	259.586	8.22043e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1190	10	119	259.594	8.22056e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1200	10	120	259.601	8.22069e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1210	10	121	259.609	8.22082e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1220	10	122	259.616	8.22095e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1230	10	123	259.623	8.22107e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1240	10	124	259.63	8.2212e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1250	10	125	259.637	8.22132e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1260	10	126	259.644	8.22144e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1270	10	127	259.651	8.22155e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1280	10	128	259.657	8.22167e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1290	10	129	259.664	8.22179e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1300	10	130	259.671	8.2219e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1310	10	131	259.677	8.22202e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1320	10	132	259.684	8.22213e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1330	10	133	259.69	8.22224e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1340	10	134	259.697	8.22236e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1350	10	135	259.703	8.22247e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1360	10	136	259.71	8.22258e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1370	10	137	259.716	8.2227e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1380	10	138	259.723	8.22281e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1390	10	139	259.729	8.22292e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1400	10	140	259.736	8.22303e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1410	10	141	259.742	8.22314e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1420	10	142	259.748	8.22325e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1430	10	143	259.755	8.22336e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1440	10	144	259.761	8.22347e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1450	10	145	259.767	8.22358e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1460	10	146	259.774	8.22369e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1470	10	147	259.78	8.2238e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1480	10	148	259.786	8.22391e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1490	10	149	259.793	8.22402e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1500	10	150	259.799	8.22413e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1510	10	151	259.805	8.22424e+08	1.73898e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1520	10	152	259.811	8.22435e+08	1.73898e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1530	10	153	259.818	8.22446e+08	1.73898e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1540	10	154	259.824	8.22456e+08	1.73898e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1550	10	155	259.83	8.22467e+08	1.73898e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1560	10	156	259.836	8.22478e+08	1.73898e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1570	10	157	259.842	8.22489e+08	1.73898e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1580	10	158	259.848	8.22499e+08	1.73898e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1590	10	159	259.854	8.2251e+08	1.73898e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1600	10	160	259.861	8.2252e+08	1.73898e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1610	10	161	259.867	8.22531e+08	1.73898e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1620	10	162	259.873	8.22541e+08	1.73898e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1630	10	163	259.879	8.22552e+08	1.73898e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1640	10	164	259.885	8.22562e+08	1.73898e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1650	10	165	259.891	8.22573e+08	1.73898e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1660	10	166	259.897	8.22583e+08	1.73898e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1670	10	167	259.902	8.22593e+08	1.73898e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1680	10	168	259.908	8.22604e+08	1.73898e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1690	10	169	259.914	8.22614e+08	1.73898e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1700	10	170	259.92	8.22624e+08	1.73898e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1710	10	171	259.926	8.22634e+08	1.73898e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1720	10	172	259.932	8.22644e+08	1.73898e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1730	10	173	259.938	8.22654e+08	1.73898e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1740	10	174	259.943	8.22664e+08	1.73898e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1750	10	175	259.949	8.22674e+08	1.73898e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1760	10	176	259.955	8.22684e+08	1.73898e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1770	10	177	259.961	8.22694e+08	1.73898e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1780	10	178	259.966	8.22704e+08	1.73898e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1790	10	179	259.972	8.22714e+08	1.73898e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1800	10	180	259.978	8.22724e+08	1.73898e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1810	10	181	259.983	8.22734e+08	1.73898e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1820	10	182	259.989	8.22744e+08	1.73898e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1830	10	183	259.995	8.22754e+08	1.73898e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1840	10	184	260	8.22763e+08	1.73898e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1850	10	185	260.006	8.22773e+08	1.73881e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1860	10	186	260.012	8.22783e+08	1.73866e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1870	10	187	260.017	8.22793e+08	1.73866e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1880	10	188	260.023	8.22802e+08	1.73866e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1890	10	189	260.028	8.22812e+08	1.73866e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1900	10	190	260.034	8.22822e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1910	10	191	260.039	8.22831e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1920	10	192	260.045	8.22841e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1930	10	193	260.05	8.2285e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1940	10	194	260.056	8.2286e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1950	10	195	260.061	8.22869e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1960	10	196	260.067	8.22879e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1970	10	197	260.072	8.22888e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1980	10	198	260.078	8.22898e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
1990	10	199	260.083	8.22907e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
2000	10	200	260.088	8.22917e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
2010	10	201	260.094	8.22926e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
2020	10	202	260.099	8.22935e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
2030	10	203	260.104	8.22945e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
2040	10	204	260.11	8.22954e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
2050	10	205	260.115	8.22963e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
2060	10	206	260.121	8.22972e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
2070	10	207	260.126	8.22982e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
2080	10	208	260.131	8.22991e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
2090	10	209	260.136	8.23e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
2100	10	210	260.142	8.23009e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
2110	10	211	260.147	8.23018e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
2120	10	212	260.152	8.23027e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
2130	10	213	260.157	8.23037e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
2140	10	214	260.163	8.23046e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
2150	10	215	260.168	8.23055e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
2160	10	216	260.173	8.23064e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
2170	10	217	260.178	8.23073e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
2180	10	218	260.183	8.23082e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
2190	10	219	260.189	8.23091e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
2200	10	220	260.194	8.231e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
2210	10	221	260.199	8.23109e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
2220	10	222	260.204	8.23118e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
2230	10	223	260.209	8.23127e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
2240	10	224	260.214	8.23135e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
2250	10	225	260.219	8.23144e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
2260	10	226	260.224	8.23153e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
2270	10	227	260.23	8.23162e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
2280	10	228	260.235	8.23171e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
2290	10	229	260.24	8.2318e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
2300	10	230	260.245	8.23188e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
2310	10	231	260.25	8.23197e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
2320	10	232	260.255	8.23206e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
2330	10	233	260.26	8.23215e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
2340	10	234	260.265	8.23223e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
2350	10	235	260.27	8.23232e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
2360	10	236	260.275	8.23241e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
2370	10	237	260.28	8.23249e+08	1.73838e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
