Compteur	Temps	TemperatureC	EnthalpieVol	dHsurdT	Concentration_carbon	Concentration_chromium	ConcentrationLiquide_carbon	ConcentrationLiquide_chromium	FractionLiq	FractionBCC	FractionFCC	FractionM7C3	FractionCementite	CodeConvergence	
11490	1149	1267.1	5.84588e+09	5.67394e+06	2.01056	30.1694	0	0	0	0.455207	0.357405	0.187387	0	6	
11500	1150	1267	5.84531e+09	5.67415e+06	2.01056	30.1694	0	0	0	0.455235	0.357362	0.187403	0	4	
11510	1151	1266.9	5.84475e+09	5.67435e+06	2.01056	30.1694	0	0	0	0.455263	0.357318	0.187419	0	8	
11520	1152	1266.8	5.84418e+09	5.67456e+06	2.01056	30.1694	0	0	0	0.455291	0.357274	0.187435	0	8	
11530	1153	1266.7	5.84361e+09	5.67476e+06	2.01056	30.1694	0	0	0	0.455318	0.35723	0.187451	0	6	
11540	1154	1266.6	5.84304e+09	5.67497e+06	2.01056	30.1694	0	0	0	0.455346	0.357187	0.187467	0	8	
11550	1155	1266.5	5.84247e+09	5.67517e+06	2.01056	30.1694	0	0	0	0.455374	0.357143	0.187483	0	6	
11560	1156	1266.4	5.8419e+09	5.67538e+06	2.01056	30.1694	0	0	0	0.455402	0.357099	0.187499	0	8	
11570	1157	1266.3	5.84134e+09	5.67558e+06	2.01056	30.1694	0	0	0	0.455429	0.357055	0.187515	0	6	
11580	1158	1266.2	5.84077e+09	5.67579e+06	2.01056	30.1694	0	0	0	0.455457	0.357012	0.187531	0	6	
11590	1159	1266.1	5.84021e+09	5.676e+06	2.01056	30.1694	0	0	0	0.455484	0.356968	0.187547	0	6	
11600	1160	1266	5.83964e+09	5.6762e+06	2.01056	30.1694	0	0	0	0.455512	0.356925	0.187562	0	6	
11610	1161	1265.9	5.83908e+09	5.67651e+06	2.01056	30.1694	0	0	0	0.455539	0.356882	0.187578	0	6	
11620	1162	1265.8	5.83851e+09	5.67672e+06	2.01056	30.1694	0	0	0	0.455567	0.356838	0.187594	0	6	
11630	1163	1265.7	5.83794e+09	5.67693e+06	2.01056	30.1694	0	0	0	0.455595	0.356794	0.18761	0	6	
11640	1164	1265.6	5.83737e+09	5.67714e+06	2.01056	30.1694	0	0	0	0.455623	0.35675	0.187626	0	8	
11650	1165	1265.5	5.8368e+09	5.67736e+06	2.01056	30.1694	0	0	0	0.45565	0.356707	0.187642	0	9	
11660	1166	1265.4	5.83623e+09	5.67757e+06	2.01056	30.1694	0	0	0	0.455678	0.356663	0.187658	0	6	
11670	1167	1265.3	5.83566e+09	5.67778e+06	2.01056	30.1694	0	0	0	0.455706	0.356619	0.187674	0	8	
11680	1168	1265.2	5.83509e+09	5.678e+06	2.01056	30.1694	0	0	0	0.455734	0.356575	0.18769	0	6	
11690	1169	1265.1	5.83453e+09	5.67821e+06	2.01056	30.1694	0	0	0	0.455761	0.356531	0.187706	0	8	
11700	1170	1265	5.83396e+09	5.68257e+06	2.01056	30.1694	0	0	0	0.455789	0.356488	0.187722	0	6	
11710	1171	1264.9	5.83339e+09	5.70043e+06	2.01056	30.1694	0	0	0	0.455816	0.356445	0.187738	0	8	
11720	1172	1264.8	5.83282e+09	5.70017e+06	2.01056	30.1694	0	0	0	0.455844	0.356402	0.187754	0	8	
11730	1173	1264.7	5.83225e+09	5.69992e+06	2.01056	30.1694	0	0	0	0.455871	0.356359	0.18777	0	6	
11740	1174	1264.6	5.83168e+09	5.69965e+06	2.01056	30.1694	0	0	0	0.455898	0.356316	0.187785	0	8	
11750	1175	1264.5	5.83112e+09	5.69938e+06	2.01056	30.1694	0	0	0	0.455925	0.356273	0.187801	0	8	
11760	1176	1264.4	5.83054e+09	5.69911e+06	2.01056	30.1694	0	0	0	0.455952	0.35623	0.187817	0	6	
11770	1177	1264.3	5.82997e+09	5.69884e+06	2.01056	30.1694	0	0	0	0.45598	0.356187	0.187833	0	6	
11780	1178	1264.2	5.8294e+09	5.69856e+06	2.01056	30.1694	0	0	0	0.456007	0.356144	0.187848	0	6	
11790	1179	1264.1	5.82883e+09	5.69829e+06	2.01056	30.1694	0	0	0	0.456034	0.356101	0.187864	0	5	
11800	1180	1264	5.82826e+09	5.69801e+06	2.01056	30.1694	0	0	0	0.456062	0.356058	0.18788	0	6	
11810	1181	1263.9	5.82769e+09	5.69774e+06	2.01056	30.1694	0	0	0	0.456089	0.356015	0.187896	0	6	
11820	1182	1263.8	5.82712e+09	5.69746e+06	2.01056	30.1694	0	0	0	0.456116	0.355972	0.187911	0	6	
11830	1183	1263.7	5.82656e+09	5.69718e+06	2.01056	30.1694	0	0	0	0.456143	0.355929	0.187927	0	6	
11840	1184	1263.6	5.82599e+09	5.6969e+06	2.01056	30.1694	0	0	0	0.45617	0.355886	0.187943	0	6	
11850	1185	1263.5	5.82542e+09	5.69663e+06	2.01056	30.1694	0	0	0	0.456198	0.355843	0.187959	0	8	
11860	1186	1263.4	5.82485e+09	5.69634e+06	2.01056	30.1694	0	0	0	0.456225	0.3558	0.187974	0	6	
11870	1187	1263.3	5.82428e+09	5.69606e+06	2.01056	30.1694	0	0	0	0.456252	0.355757	0.18799	0	9	
11880	1188	1263.2	5.82371e+09	5.69578e+06	2.01056	30.1694	0	0	0	0.456279	0.355714	0.188006	0	8	
11890	1189	1263.1	5.82314e+09	5.69549e+06	2.01056	30.1694	0	0	0	0.456307	0.355671	0.188022	0	8	
11900	1190	1263	5.82257e+09	5.69521e+06	2.01056	30.1694	0	0	0	0.456334	0.355628	0.188038	0	8	
11910	1191	1262.9	5.822e+09	5.69492e+06	2.01056	30.1694	0	0	0	0.456361	0.355585	0.188053	0	8	
11920	1192	1262.8	5.82143e+09	5.69463e+06	2.01056	30.1694	0	0	0	0.456389	0.355542	0.188069	0	4	
11930	1193	1262.7	5.82086e+09	5.69434e+06	2.01056	30.1694	0	0	0	0.456416	0.355499	0.188085	0	8	
11940	1194	1262.6	5.82029e+09	5.69401e+06	2.01056	30.1694	0	0	0	0.456443	0.355456	0.188101	0	7	
11950	1195	1262.5	5.81972e+09	5.69372e+06	2.01056	30.1694	0	0	0	0.45647	0.355413	0.188116	0	8	
11960	1196	1262.4	5.81916e+09	5.69343e+06	2.01056	30.1694	0	0	0	0.456498	0.35537	0.188132	0	7	
11970	1197	1262.3	5.81859e+09	5.69314e+06	2.01056	30.1694	0	0	0	0.456525	0.355327	0.188148	0	9	
11980	1198	1262.2	5.81802e+09	5.69284e+06	2.01056	30.1694	0	0	0	0.456552	0.355284	0.188164	0	6	
11990	1199	1262.1	5.81745e+09	5.69255e+06	2.01056	30.1694	0	0	0	0.456579	0.355241	0.188179	0	8	
12000	1200	1262	5.81688e+09	5.69225e+06	2.01056	30.1694	0	0	0	0.456607	0.355198	0.188195	0	6	
12010	1201	1261.9	5.81631e+09	5.69195e+06	2.01056	30.1694	0	0	0	0.456634	0.355155	0.188211	0	8	
12020	1202	1261.8	5.81574e+09	5.69165e+06	2.01056	30.1694	0	0	0	0.456661	0.355112	0.188227	0	6	
12030	1203	1261.7	5.81517e+09	5.69135e+06	2.01056	30.1694	0	0	0	0.456688	0.355069	0.188243	0	6	
12040	1204	1261.6	5.8146e+09	5.69105e+06	2.01056	30.1694	0	0	0	0.456716	0.355026	0.188258	0	6	
12050	1205	1261.5	5.81404e+09	5.69075e+06	2.01056	30.1694	0	0	0	0.456743	0.354983	0.188274	0	7	
12060	1206	1261.4	5.81347e+09	5.69045e+06	2.01056	30.1694	0	0	0	0.45677	0.35494	0.18829	0	9	
12070	1207	1261.3	5.8129e+09	5.69014e+06	2.01056	30.1694	0	0	0	0.456797	0.354897	0.188306	0	5	
12080	1208	1261.2	5.81233e+09	5.68984e+06	2.01056	30.1694	0	0	0	0.456824	0.354854	0.188321	0	8	
12090	1209	1261.1	5.81177e+09	5.68954e+06	2.01056	30.1694	0	0	0	0.456852	0.354811	0.188337	0	8	
12100	1210	1261	5.8112e+09	5.68923e+06	2.01056	30.1694	0	0	0	0.456879	0.354768	0.188353	0	6	
12110	1211	1260.9	5.81063e+09	5.68892e+06	2.01056	30.1694	0	0	0	0.456906	0.354725	0.188369	0	6	
12120	1212	1260.8	5.81006e+09	5.68861e+06	2.01056	30.1694	0	0	0	0.456933	0.354682	0.188384	0	9	
12130	1213	1260.7	5.80949e+09	5.6883e+06	2.01056	30.1694	0	0	0	0.456961	0.354639	0.1884	0	8	
12140	1214	1260.6	5.80892e+09	5.68799e+06	2.01056	30.1694	0	0	0	0.456988	0.354596	0.188416	0	6	
12150	1215	1260.5	5.80835e+09	5.69283e+06	2.01056	30.1694	0	0	0	0.457015	0.354553	0.188432	0	4	
12160	1216	1260.4	5.80778e+09	5.68736e+06	2.01056	30.1694	0	0	0	0.457043	0.35451	0.188448	0	8	
12170	1217	1260.3	5.80721e+09	5.68705e+06	2.01056	30.1694	0	0	0	0.45707	0.354467	0.188463	0	5	
12180	1218	1260.2	5.80665e+09	5.68673e+06	2.01056	30.1694	0	0	0	0.457097	0.354424	0.188479	0	6	
12190	1219	1260.1	5.80608e+09	5.68642e+06	2.01056	30.1694	0	0	0	0.457124	0.354381	0.188495	0	6	
12200	1220	1260	5.80551e+09	5.68189e+06	2.01056	30.1694	0	0	0	0.457152	0.354338	0.188511	0	8	
12210	1221	1259.9	5.80494e+09	5.68748e+06	2.01056	30.1694	0	0	0	0.457178	0.354296	0.188526	0	6	
12220	1222	1259.8	5.80437e+09	5.68689e+06	2.01056	30.1694	0	0	0	0.457205	0.354253	0.188542	0	8	
12230	1223	1259.7	5.80381e+09	5.68631e+06	2.01056	30.1694	0	0	0	0.457232	0.354211	0.188557	0	8	
12240	1224	1259.6	5.80324e+09	5.68572e+06	2.01056	30.1694	0	0	0	0.457259	0.354169	0.188573	0	5	
12250	1225	1259.5	5.80267e+09	5.68513e+06	2.01056	30.1694	0	0	0	0.457286	0.354126	0.188588	0	6	
12260	1226	1259.4	5.8021e+09	5.68454e+06	2.01056	30.1694	0	0	0	0.457312	0.354084	0.188604	0	9	
12270	1227	1259.3	5.80153e+09	5.68394e+06	2.01056	30.1694	0	0	0	0.457339	0.354041	0.188619	0	9	
12280	1228	1259.2	5.80097e+09	5.68335e+06	2.01056	30.1694	0	0	0	0.457366	0.353999	0.188635	0	8	
12290	1229	1259.1	5.8004e+09	5.6828e+06	2.01056	30.1694	0	0	0	0.457393	0.353957	0.188651	0	7	
12300	1230	1259	5.79983e+09	5.6822e+06	2.01056	30.1694	0	0	0	0.457419	0.353915	0.188666	0	7	
12310	1231	1258.9	5.79926e+09	5.6816e+06	2.01056	30.1694	0	0	0	0.457446	0.353872	0.188682	0	5	
12320	1232	1258.8	5.7987e+09	5.681e+06	2.01056	30.1694	0	0	0	0.457473	0.35383	0.188697	0	7	
12330	1233	1258.7	5.79813e+09	5.6804e+06	2.01056	30.1694	0	0	0	0.4575	0.353788	0.188713	0	6	
12340	1234	1258.6	5.79756e+09	5.67979e+06	2.01056	30.1694	0	0	0	0.457527	0.353745	0.188728	0	6	
12350	1235	1258.5	5.79699e+09	5.67918e+06	2.01056	30.1694	0	0	0	0.457554	0.353703	0.188744	0	6	
12360	1236	1258.4	5.79642e+09	5.67857e+06	2.01056	30.1694	0	0	0	0.45758	0.35366	0.188759	0	8	
12370	1237	1258.3	5.79586e+09	5.67796e+06	2.01056	30.1694	0	0	0	0.457607	0.353618	0.188775	0	8	
12380	1238	1258.2	5.79529e+09	5.67734e+06	2.01056	30.1694	0	0	0	0.457634	0.353575	0.188791	0	8	
12390	1239	1258.1	5.79472e+09	5.67673e+06	2.01056	30.1694	0	0	0	0.457661	0.353533	0.188806	0	6	
12400	1240	1258	5.79415e+09	5.67611e+06	2.01056	30.1694	0	0	0	0.457688	0.353491	0.188822	0	6	
12410	1241	1257.9	5.79358e+09	5.67549e+06	2.01056	30.1694	0	0	0	0.457715	0.353448	0.188837	0	4	
12420	1242	1257.8	5.79302e+09	5.67487e+06	2.01056	30.1694	0	0	0	0.457741	0.353406	0.188853	0	8	
12430	1243	1257.7	5.79245e+09	5.67425e+06	2.01056	30.1694	0	0	0	0.457768	0.353364	0.188868	0	8	
12440	1244	1257.6	5.79188e+09	5.67362e+06	2.01056	30.1694	0	0	0	0.457795	0.353321	0.188884	0	9	
12450	1245	1257.5	5.79132e+09	5.673e+06	2.01056	30.1694	0	0	0	0.457822	0.353279	0.188899	0	8	
12460	1246	1257.4	5.79075e+09	5.67237e+06	2.01056	30.1694	0	0	0	0.457848	0.353237	0.188915	0	6	
12470	1247	1257.3	5.79019e+09	5.67174e+06	2.01056	30.1694	0	0	0	0.457875	0.353194	0.18893	0	9	
12480	1248	1257.2	5.78962e+09	5.67111e+06	2.01056	30.1694	0	0	0	0.457902	0.353152	0.188946	0	6	
12490	1249	1257.1	5.78905e+09	5.67047e+06	2.01056	30.1694	0	0	0	0.457929	0.35311	0.188962	0	6	
12500	1250	1257	5.78848e+09	5.66984e+06	2.01056	30.1694	0	0	0	0.457956	0.353067	0.188977	0	6	
12510	1251	1256.9	5.78792e+09	5.6692e+06	2.01056	30.1694	0	0	0	0.457982	0.353025	0.188993	0	5	
12520	1252	1256.8	5.78735e+09	5.66856e+06	2.01056	30.1694	0	0	0	0.458009	0.352983	0.189008	0	8	
12530	1253	1256.7	5.78679e+09	5.66792e+06	2.01056	30.1694	0	0	0	0.458036	0.35294	0.189024	0	6	
12540	1254	1256.6	5.78622e+09	5.66728e+06	2.01056	30.1694	0	0	0	0.458063	0.352898	0.189039	0	5	
12550	1255	1256.5	5.78566e+09	5.66663e+06	2.01056	30.1694	0	0	0	0.458089	0.352856	0.189055	0	8	
12560	1256	1256.4	5.78509e+09	5.66598e+06	2.01056	30.1694	0	0	0	0.458116	0.352814	0.18907	0	6	
12570	1257	1256.3	5.78452e+09	5.66534e+06	2.01056	30.1694	0	0	0	0.458143	0.352771	0.189086	0	6	
12580	1258	1256.2	5.78396e+09	5.66468e+06	2.01056	30.1694	0	0	0	0.45817	0.352729	0.189101	0	5	
12590	1259	1256.1	5.78339e+09	5.66403e+06	2.01056	30.1694	0	0	0	0.458197	0.352686	0.189117	0	6	
12600	1260	1256	5.78282e+09	5.66337e+06	2.01056	30.1694	0	0	0	0.458224	0.352644	0.189133	0	6	
12610	1261	1255.9	5.78226e+09	5.66271e+06	2.01056	30.1694	0	0	0	0.45825	0.352602	0.189148	0	6	
12620	1262	1255.8	5.78169e+09	5.66205e+06	2.01056	30.1694	0	0	0	0.458277	0.352559	0.189164	0	6	
12630	1263	1255.7	5.78112e+09	5.66139e+06	2.01056	30.1694	0	0	0	0.458304	0.352517	0.189179	0	9	
12640	1264	1255.6	5.78056e+09	5.66073e+06	2.01056	30.1694	0	0	0	0.458331	0.352474	0.189195	0	6	
12650	1265	1255.5	5.77999e+09	5.66006e+06	2.01056	30.1694	0	0	0	0.458358	0.352432	0.189211	0	6	
12660	1266	1255.4	5.77943e+09	5.6594e+06	2.01056	30.1694	0	0	0	0.458384	0.35239	0.189226	0	7	
12670	1267	1255.3	5.77886e+09	5.65873e+06	2.01056	30.1694	0	0	0	0.458411	0.352347	0.189242	0	8	
12680	1268	1255.2	5.7783e+09	5.65806e+06	2.01056	30.1694	0	0	0	0.458438	0.352305	0.189257	0	8	
12690	1269	1255.11	5.77773e+09	5.65739e+06	2.01056	30.1694	0	0	0	0.458465	0.352263	0.189273	0	7	
12700	1270	1255.01	5.77717e+09	5.65671e+06	2.01056	30.1694	0	0	0	0.458491	0.352221	0.189288	0	6	
