Temps	vA	vM
1885.4	0.00199587	0.00600413
1885.5	0.00199585	0.00600415
1885.6	0.00199584	0.00600416
1885.7	0.00199584	0.00600416
1885.8	0.00199584	0.00600416
1885.9	0.0019958	0.0060042
1886	0.0019958	0.0060042
1886.1	0.00199579	0.00600421
1886.2	0.00199577	0.00600423
1886.3	0.00199575	0.00600425
1886.4	0.00199574	0.00600426
1886.5	0.00199574	0.00600426
1886.6	0.00199571	0.00600429
1886.7	0.0019957	0.0060043
1886.8	0.0019957	0.0060043
1886.9	0.00199568	0.00600432
1887	0.00199566	0.00600434
1887.1	0.00199566	0.00600434
1887.2	0.00199566	0.00600434
1887.3	0.00199565	0.00600435
1887.4	0.00199563	0.00600437
1887.5	0.00199565	0.00600435
1887.6	0.00199564	0.00600436
1887.7	0.00199563	0.00600437
1887.8	0.00199563	0.00600437
1887.9	0.00199563	0.00600437
1888	0.00199563	0.00600437
1888.1	0.0019956	0.0060044
1888.2	0.0019956	0.0060044
1888.3	0.00199561	0.00600439
1888.4	0.00199558	0.00600442
1888.5	0.00199558	0.00600442
1888.6	0.00199558	0.00600442
1888.7	0.00199557	0.00600443
1888.8	0.00199555	0.00600445
1888.9	0.00199554	0.00600446
1889	0.00199555	0.00600445
1889.1	0.00199554	0.00600446
1889.2	0.00199551	0.00600449
1889.3	0.00199553	0.00600447
1889.4	0.00199552	0.00600448
1889.5	0.00199551	0.00600449
1889.6	0.00199551	0.00600449
1889.7	0.00199552	0.00600448
1889.8	0.00199552	0.00600448
1889.9	0.0019955	0.0060045
1890	0.00199551	0.00600449
1890.1	0.00199551	0.00600449
1890.2	0.00199549	0.00600451
1890.3	0.00199548	0.00600452
1890.4	0.00199549	0.00600451
1890.5	0.00199549	0.00600451
1890.6	0.00199547	0.00600453
1890.7	0.00199546	0.00600454
1890.8	0.00199547	0.00600453
1890.9	0.00199546	0.00600454
1891	0.00199546	0.00600454
1891.1	0.00199546	0.00600454
1891.2	0.00199547	0.00600453
1891.3	0.00199546	0.00600454
1891.4	0.00199544	0.00600456
1891.5	0.00199545	0.00600455
1891.6	0.00199545	0.00600455
1891.7	0.00199542	0.00600458
1891.8	0.00199542	0.00600458
1891.9	0.00199542	0.00600458
1892	0.0019954	0.0060046
1892.1	0.00199538	0.00600462
1892.2	0.00199538	0.00600462
1892.3	0.00199539	0.00600461
1892.4	0.00199536	0.00600464
1892.5	0.00199535	0.00600465
1892.6	0.00199535	0.00600465
1892.7	0.00199534	0.00600466
1892.8	0.00199531	0.00600469
1892.9	0.00199531	0.00600469
1893	0.00199531	0.00600469
1893.1	0.0019953	0.0060047
1893.2	0.00199527	0.00600473
1893.3	0.00199528	0.00600472
1893.4	0.00199528	0.00600472
1893.5	0.00199526	0.00600474
1893.6	0.00199525	0.00600475
1893.7	0.00199526	0.00600474
1893.8	0.00199526	0.00600474
1893.9	0.00199523	0.00600477
1894	0.00199523	0.00600477
1894.1	0.00199524	0.00600476
1894.2	0.00199522	0.00600478
1894.3	0.0019952	0.0060048
1894.4	0.00199519	0.00600481
1894.5	0.00199519	0.00600481
1894.6	0.00199516	0.00600484
1894.7	0.00199515	0.00600485
1894.8	0.00199517	0.00600483
1894.9	0.00199515	0.00600485
1895	0.00199513	0.00600487
1895.1	0.00199513	0.00600487
1895.2	0.00199514	0.00600486
1895.3	0.00199512	0.00600488
1895.4	0.00199509	0.00600491
1895.5	0.0019951	0.0060049
1895.6	0.00199511	0.00600489
1895.7	0.00199507	0.00600493
1895.8	0.00199507	0.00600493
1895.9	0.0019951	0.0060049
1896	0.00199508	0.00600492
1896.1	0.00199506	0.00600494
1896.2	0.00199506	0.00600494
1896.3	0.00199507	0.00600493
1896.4	0.00199505	0.00600495
1896.5	0.00199502	0.00600498
1896.6	0.00199504	0.00600496
1896.7	0.00199503	0.00600497
1896.8	0.001995	0.006005
1896.9	0.001995	0.006005
1897	0.00199501	0.00600499
1897.1	0.001995	0.006005
1897.2	0.00199497	0.00600503
1897.3	0.00199499	0.00600501
1897.4	0.001995	0.006005
1897.5	0.00199497	0.00600503
1897.6	0.00199496	0.00600504
1897.7	0.00199496	0.00600504
1897.8	0.00199496	0.00600504
1897.9	0.00199493	0.00600507
1898	0.00199491	0.00600509
1898.1	0.00199492	0.00600508
1898.2	0.0019949	0.0060051
1898.3	0.00199487	0.00600513
1898.4	0.00199488	0.00600512
1898.5	0.00199487	0.00600513
1898.6	0.00199485	0.00600515
1898.7	0.00199483	0.00600517
1898.8	0.00199482	0.00600518
1898.9	0.00199482	0.00600518
1899	0.00199478	0.00600522
1899.1	0.00199478	0.00600522
1899.2	0.00199477	0.00600523
1899.3	0.00199475	0.00600525
1899.4	0.00199473	0.00600527
1899.5	0.00199473	0.00600527
1899.6	0.00199473	0.00600527
1899.7	0.00199471	0.00600529
1899.8	0.0019947	0.0060053
1899.9	0.00199473	0.00600527
1900	0.0019947	0.0060053
1900.1	0.00199468	0.00600532
1900.2	0.00199468	0.00600532
1900.3	0.0019947	0.0060053
1900.4	0.00199468	0.00600532
1900.5	0.00199466	0.00600534
1900.6	0.00199468	0.00600532
1900.7	0.00199467	0.00600533
1900.8	0.00199463	0.00600537
1900.9	0.00199463	0.00600537
1901	0.00199464	0.00600536
1901.1	0.00199463	0.00600537
1901.2	0.0019946	0.0060054
1901.3	0.00199461	0.00600539
1901.4	0.00199463	0.00600537
1901.5	0.0019946	0.0060054
1901.6	0.00199458	0.00600542
1901.7	0.0019946	0.0060054
1901.8	0.00199459	0.00600541
1901.9	0.00199455	0.00600545
1902	0.00199454	0.00600546
1902.1	0.00199456	0.00600544
1902.2	0.00199455	0.00600545
1902.3	0.00199451	0.00600549
1902.4	0.00199453	0.00600547
1902.5	0.00199454	0.00600546
1902.6	0.0019945	0.0060055
1902.7	0.00199448	0.00600552
1902.8	0.0019945	0.0060055
1902.9	0.00199449	0.00600551
1903	0.00199445	0.00600555
1903.1	0.00199444	0.00600556
1903.2	0.00199446	0.00600554
1903.3	0.00199443	0.00600557
1903.4	0.00199441	0.00600559
1903.5	0.00199442	0.00600558
1903.6	0.00199443	0.00600557
1903.7	0.0019944	0.0060056
1903.8	0.00199439	0.00600561
1903.9	0.00199442	0.00600558
1904	0.00199441	0.00600559
1904.1	0.00199437	0.00600563
1904.2	0.00199439	0.00600561
1904.3	0.0019944	0.0060056
1904.4	0.00199439	0.00600561
1904.5	0.00199435	0.00600565
1904.6	0.00199436	0.00600564
1904.7	0.00199438	0.00600562
1904.8	0.00199434	0.00600566
1904.9	0.00199433	0.00600567
1905	0.00199436	0.00600564
1905.1	0.00199435	0.00600565
1905.2	0.00199432	0.00600568
1905.3	0.00199433	0.00600567
1905.4	0.00199434	0.00600566
