Temps	vA	vM	mMpct	msoluteM_pct
1869.4	0.00199731	0.00600269	0.045114645	0.048395154
1869.5	0.00199729	0.00600271	0.0453484	0.049175721
1869.6	0.00199728	0.00600272	0.045582154	0.049175721
1869.7	0.00199727	0.00600273	0.045582154	0.049175721
1869.8	0.00199725	0.00600275	0.046049664	0.049956288
1869.9	0.00199723	0.00600277	0.046517173	0.049956288
1870	0.00199722	0.00600278	0.046517173	0.049956288
1870.1	0.00199721	0.00600279	0.046750927	0.049956288
1870.2	0.00199718	0.00600282	0.047218437	0.050736855
1870.3	0.00199716	0.00600284	0.047452191	0.050736855
1870.4	0.00199715	0.00600285	0.047685946	0.051517422
1870.5	0.00199714	0.00600286	0.047919701	0.051517422
1870.6	0.00199712	0.00600288	0.048153455	0.051517422
1870.7	0.00199711	0.00600289	0.04838721	0.052297989
1870.8	0.00199712	0.00600288	0.04838721	0.052297989
1870.9	0.00199711	0.00600289	0.04838721	0.052297989
1871	0.00199709	0.00600291	0.048620965	0.052297989
1871.1	0.00199709	0.00600291	0.048620965	0.052297989
1871.2	0.00199708	0.00600292	0.048854719	0.052297989
1871.3	0.00199707	0.00600293	0.049088474	0.052297989
1871.4	0.00199706	0.00600294	0.049088474	0.052297989
1871.5	0.00199706	0.00600294	0.049088474	0.053078556
1871.6	0.00199706	0.00600294	0.049322228	0.053078556
1871.7	0.00199705	0.00600295	0.049555983	0.053078556
1871.8	0.00199705	0.00600295	0.049555983	0.053078556
1871.9	0.00199705	0.00600295	0.049555983	0.053078556
1872	0.00199703	0.00600297	0.049789738	0.053078556
1872.1	0.00199702	0.00600298	0.050023492	0.053859123
1872.2	0.00199702	0.00600298	0.050023492	0.053859123
1872.3	0.001997	0.006003	0.050257247	0.053859123
1872.4	0.00199699	0.00600301	0.050491002	0.053859123
1872.5	0.00199697	0.00600303	0.050724756	0.05463969
1872.6	0.00199697	0.00600303	0.050724756	0.05463969
1872.7	0.00199696	0.00600304	0.050958511	0.05463969
1872.8	0.00199694	0.00600306	0.051192266	0.05463969
1872.9	0.00199693	0.00600307	0.05142602	0.05463969
1873	0.00199693	0.00600307	0.05142602	0.055420257
