Compteur	Temps	TemperatureC	EnthalpieVol	dHsurdT	Concentration_carbon	Concentration_chromium	ConcentrationLiquide_carbon	ConcentrationLiquide_chromium	FractionLiq	FractionBCC	FractionFCC	FractionM7C3	FractionCementite	CodeConvergence	
1590	159	1390.09	8.11142e+09	5.40794e+06	2	30	2	30	1	0	0	0	0	2	
1600	160	1390.04	8.11116e+09	5.40794e+06	2	30	2	30	1	0	0	0	0	2	
1610	161	1389.99	8.11089e+09	5.40248e+06	2	30	2	30	1	0	0	0	0	2	
1620	162	1389.94	8.11063e+09	5.40248e+06	2	30	2	30	1	0	0	0	0	2	
1630	163	1389.89	8.11037e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
1640	164	1389.84	8.1101e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
1650	165	1389.8	8.10984e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
1660	166	1389.75	8.10957e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
1670	167	1389.7	8.10931e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
1680	168	1389.65	8.10904e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
1690	169	1389.6	8.10878e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
1700	170	1389.55	8.10851e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
1710	171	1389.5	8.10824e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
1720	172	1389.45	8.10797e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
1730	173	1389.4	8.1077e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
1740	174	1389.35	8.10743e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
1750	175	1389.3	8.10716e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
1760	176	1389.25	8.10689e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
1770	177	1389.2	8.10662e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
1780	178	1389.15	8.10635e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
1790	179	1389.1	8.10607e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
1800	180	1389.05	8.1058e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
1810	181	1389	8.10552e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
1820	182	1388.94	8.10525e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
1830	183	1388.89	8.10497e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
1840	184	1388.84	8.1047e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
1850	185	1388.79	8.10442e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
1860	186	1388.74	8.10414e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
1870	187	1388.69	8.10387e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
1880	188	1388.64	8.10359e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
1890	189	1388.59	8.10331e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
1900	190	1388.53	8.10303e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
1910	191	1388.48	8.10275e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
1920	192	1388.43	8.10247e+09	5.39542e+06	2	30	2	30	1	0	0	0	0	2	
1930	193	1388.38	8.10219e+09	5.39542e+06	2	30	2	30	1	0	0	0	0	2	
1940	194	1388.32	8.1019e+09	5.39544e+06	2	30	2	30	1	0	0	0	0	2	
1950	195	1388.27	8.10162e+09	5.39544e+06	2	30	2	30	1	0	0	0	0	2	
1960	196	1388.22	8.10134e+09	5.39546e+06	2	30	2	30	1	0	0	0	0	2	
1970	197	1388.17	8.10105e+09	5.39546e+06	2	30	2	30	1	0	0	0	0	2	
1980	198	1388.11	8.10077e+09	5.39546e+06	2	30	2	30	1	0	0	0	0	2	
1990	199	1388.06	8.10049e+09	5.39184e+06	2	30	2	30	1	0	0	0	0	2	
2000	200	1388.01	8.1002e+09	5.39546e+06	2	30	2	30	1	0	0	0	0	2	
2010	201	1387.96	8.09991e+09	5.39546e+06	2	30	2	30	1	0	0	0	0	2	
2020	202	1387.9	8.09963e+09	5.39546e+06	2	30	2	30	1	0	0	0	0	2	
2030	203	1387.85	8.09934e+09	5.39546e+06	2	30	2	30	1	0	0	0	0	2	
2040	204	1387.8	8.09905e+09	5.39546e+06	2	30	2	30	1	0	0	0	0	2	
2050	205	1387.74	8.09876e+09	5.39546e+06	2	30	2	30	1	0	0	0	0	2	
2060	206	1387.69	8.09847e+09	5.39546e+06	2	30	2	30	1	0	0	0	0	2	
2070	207	1387.64	8.09818e+09	5.39546e+06	2	30	2	30	1	0	0	0	0	2	
2080	208	1387.58	8.09789e+09	5.39544e+06	2	30	2	30	1	0	0	0	0	2	
2090	209	1387.53	8.0976e+09	5.39544e+06	2	30	2	30	1	0	0	0	0	2	
2100	210	1387.47	8.09731e+09	5.39542e+06	2	30	2	30	1	0	0	0	0	2	
2110	211	1387.42	8.09702e+09	5.39542e+06	2	30	2	30	1	0	0	0	0	2	
2120	212	1387.37	8.09673e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
2130	213	1387.31	8.09644e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
2140	214	1387.26	8.09614e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
2150	215	1387.2	8.09585e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
2160	216	1387.15	8.09555e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
2170	217	1387.09	8.09526e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
2180	218	1387.04	8.09496e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
2190	219	1386.98	8.09467e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
2200	220	1386.93	8.09437e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
2210	221	1386.87	8.09407e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
2220	222	1386.82	8.09377e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
2230	223	1386.76	8.09347e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
2240	224	1386.71	8.09318e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
2250	225	1386.65	8.09288e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
2260	226	1386.6	8.09258e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
2270	227	1386.54	8.09227e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
2280	228	1386.48	8.09197e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
2290	229	1386.43	8.09167e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
2300	230	1386.37	8.09137e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
2310	231	1386.32	8.09107e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
2320	232	1386.26	8.09076e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
2330	233	1386.2	8.09046e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
2340	234	1386.15	8.09015e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
2350	235	1386.09	8.08985e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
2360	236	1386.03	8.08954e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
2370	237	1385.98	8.08924e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
2380	238	1385.92	8.08893e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
2390	239	1385.86	8.08862e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
2400	240	1385.81	8.08831e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
2410	241	1385.75	8.08801e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
2420	242	1385.69	8.0877e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
2430	243	1385.63	8.08739e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
2440	244	1385.58	8.08708e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
2450	245	1385.52	8.08677e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
2460	246	1385.46	8.08646e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
2470	247	1385.4	8.08614e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
2480	248	1385.35	8.08583e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
2490	249	1385.29	8.08552e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
2500	250	1385.23	8.08521e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
2510	251	1385.17	8.08489e+09	5.3954e+06	2	30	2	30	1	0	0	0	0	2	
2520	252	1385.11	8.08458e+09	5.39084e+06	2	30	2	30	1	0	0	0	0	2	
2530	253	1385.06	8.08426e+09	5.39084e+06	2	30	2	30	1	0	0	0	0	2	
2540	254	1385	8.08395e+09	5.38791e+06	2	30	2	30	1	0	0	0	0	2	
2550	255	1384.94	8.08363e+09	5.38728e+06	2	30	2	30	1	0	0	0	0	2	
2560	256	1384.88	8.08332e+09	5.38728e+06	2	30	2	30	1	0	0	0	0	2	
2570	257	1384.82	8.083e+09	5.38266e+06	2	30	2	30	1	0	0	0	0	2	
2580	258	1384.76	8.08269e+09	5.38266e+06	2	30	2	30	1	0	0	0	0	2	
2590	259	1384.7	8.08237e+09	5.38266e+06	2	30	2	30	1	0	0	0	0	2	
2600	260	1384.64	8.08205e+09	5.38266e+06	2	30	2	30	1	0	0	0	0	2	
2610	261	1384.59	8.08173e+09	5.38266e+06	2	30	2	30	1	0	0	0	0	2	
2620	262	1384.53	8.08141e+09	5.38267e+06	2	30	2	30	1	0	0	0	0	2	
2630	263	1384.47	8.0811e+09	5.38267e+06	2	30	2	30	1	0	0	0	0	2	
2640	264	1384.41	8.08078e+09	5.38267e+06	2	30	2	30	1	0	0	0	0	2	
2650	265	1384.35	8.08046e+09	5.38268e+06	2	30	2	30	1	0	0	0	0	2	
2660	266	1384.29	8.08014e+09	5.38268e+06	2	30	2	30	1	0	0	0	0	2	
2670	267	1384.23	8.07981e+09	5.38269e+06	2	30	2	30	1	0	0	0	0	2	
2680	268	1384.17	8.07949e+09	5.38269e+06	2	30	2	30	1	0	0	0	0	2	
2690	269	1384.11	8.07917e+09	5.38269e+06	2	30	2	30	1	0	0	0	0	2	
