pos1	pos2	pos3	pos4	pos5	pos6
0.790096	1	1	1	1	1	
0.789218	1	1	1	1	1	
0.788361	1	1	1	1	1	
0.78752	1	1	1	1	1	
0.786688	1	1	1	1	1	
0.785856	1	1	1	1	1	
0.78503	1	1	1	1	1	
0.78421	1	1	1	1	1	
0.783394	1	1	1	1	1	
0.782581	1	1	1	1	1	
0.78177	1	1	1	1	1	
0.78096	1	1	1	1	1	
0.780151	1	1	1	1	1	
0.779347	1	1	1	1	1	
0.778552	1	1	1	1	1	
0.777757	1	1	1	1	1	
0.776963	1	1	1	1	1	
0.776167	1	1	1	1	1	
0.775371	1	1	1	1	1	
0.774572	1	1	1	1	1	
0.773771	1	1	1	1	1	
0.772967	1	1	1	1	1	
0.772162	1	1	1	1	1	
0.771354	1	1	1	1	1	
0.770535	1	1	1	1	1	
0.76971	1	1	1	1	1	
0.768884	1	1	1	1	1	
0.768057	1	1	1	1	1	
0.767229	1	1	1	1	1	
0.766401	1	1	1	1	1	
0.765571	1	1	1	1	1	
0.76474	1	1	1	1	1	
0.76391	1	1	1	1	1	
0.763091	1	1	1	1	1	
0.762272	1	1	1	1	1	
0.761454	1	1	1	1	1	
0.760634	1	1	1	1	1	
0.759813	1	1	1	1	1	
0.75899	1	1	1	1	1	
0.758164	1	1	1	1	1	
0.757337	1	1	1	1	1	
0.756508	1	1	1	1	1	
0.755672	1	1	1	1	1	
0.754828	1	1	1	1	1	
0.753981	1	1	1	1	1	
0.753135	1	1	1	1	1	
0.752288	1	1	1	1	1	
0.751441	1	1	1	1	1	
0.750593	1	1	1	1	1	
0.749744	1	1	1	1	1	
0.748896	1	1	1	1	1	
0.74806	1	1	1	1	1	
0.747225	1	1	1	1	1	
0.746391	1	1	1	1	1	
0.745558	1	1	1	1	1	
0.74473	1	1	1	1	1	
0.743913	1	1	1	1	1	
0.743108	1	1	1	1	1	
0.742318	1	1	1	1	1	
0.741541	1	1	1	1	1	
0.74077	1	1	1	1	1	
0.740008	1	1	1	1	1	
0.739255	1	1	1	1	1	
0.738513	1	1	1	1	1	
0.737779	1	1	1	1	1	
0.737051	1	1	1	1	1	
0.73633	1	1	1	1	1	
0.735613	1	1	1	1	1	
0.734899	1	1	1	1	1	
0.734196	1	1	1	1	1	
0.733501	1	1	1	1	1	
0.732809	1	1	1	1	1	
0.73212	1	1	1	1	1	
0.731432	1	1	1	1	1	
0.730745	1	1	1	1	1	
0.730059	1	1	1	1	1	
0.729372	1	1	1	1	1	
0.728685	1	1	1	1	1	
0.727997	1	1	1	1	1	
0.727309	1	1	1	1	1	
0.726611	1	1	1	1	1	
0.72591	1	1	1	1	1	
0.725209	1	1	1	1	1	
0.724508	1	1	1	1	1	
0.723806	1	1	1	1	1	
0.723104	1	1	1	1	1	
0.722402	1	1	1	1	1	
0.721699	1	1	1	1	1	
0.720994	1	1	1	1	1	
0.720296	1	1	1	1	1	
0.719603	1	1	1	1	1	
0.718912	1	1	1	1	1	
0.71822	1	1	1	1	1	
0.717528	1	1	1	1	1	
0.716835	1	1	1	1	1	
0.716142	1	1	1	1	1	
0.715446	1	1	1	1	1	
0.71475	1	1	1	1	1	
0.714051	1	1	1	1	1	
0.713349	1	1	1	1	1	
0.712638	1	1	1	1	1	
0.711926	1	1	1	1	1	
0.711213	1	1	1	1	1	
0.710501	1	1	1	1	1	
