pos1	pos2	pos3	pos4	pos5	pos6
0.937474	1	1	1	1	1	
0.935459	1	1	1	1	1	
0.93344	1	1	1	1	1	
0.931417	1	1	1	1	1	
0.929392	1	1	1	1	1	
0.927378	1	1	1	1	1	
0.925376	1	1	1	1	1	
0.923376	1	1	1	1	1	
0.921308	1	1	1	1	1	
0.91987	1	1	1	1	1	
0.91844	1	1	1	1	1	
0.91707	1	1	1	1	1	
0.915052	1	1	1	1	1	
0.913622	1	1	1	1	1	
0.912435	1	1	1	1	1	
0.911333	1	1	1	1	1	
0.910251	1	1	1	1	1	
0.909165	1	1	1	1	1	
0.908066	1	1	1	1	1	
0.906963	1	1	1	1	1	
0.905861	1	1	1	1	1	
0.904751	1	1	1	1	1	
0.903631	1	1	1	1	1	
0.902499	1	1	1	1	1	
0.901355	1	1	1	1	1	
0.9002	1	1	1	1	1	
0.899035	1	1	1	1	1	
0.897859	1	1	1	1	1	
0.896674	1	1	1	1	1	
0.895479	1	1	1	1	1	
0.894252	1	1	1	1	1	
0.89301	1	1	1	1	1	
0.891758	1	1	1	1	1	
0.890498	1	1	1	1	1	
0.889231	1	1	1	1	1	
0.887958	1	1	1	1	1	
0.886683	1	1	1	1	1	
0.885423	1	1	1	1	1	
0.884168	1	1	1	1	1	
0.88291	1	1	1	1	1	
0.881649	1	1	1	1	1	
0.880383	1	1	1	1	1	
0.879112	1	1	1	1	1	
0.877835	1	1	1	1	1	
0.876554	1	1	1	1	1	
0.875263	1	1	1	1	1	
0.873946	1	1	1	1	1	
0.872619	1	1	1	1	1	
0.871287	1	1	1	1	1	
0.869951	1	1	1	1	1	
0.868612	1	1	1	1	1	
0.867271	1	1	1	1	1	
0.865949	1	1	1	1	1	
0.864636	1	1	1	1	1	
0.863326	1	1	1	1	1	
0.862014	1	1	1	1	1	
0.860701	1	1	1	1	1	
0.859384	1	1	1	1	1	
0.858065	1	1	1	1	1	
0.856744	1	1	1	1	1	
0.8554	1	1	1	1	1	
0.854042	1	1	1	1	1	
0.852673	1	1	1	1	1	
0.851273	1	1	1	1	1	
0.849893	1	1	1	1	1	
0.848612	1	1	1	1	1	
0.847459	1	1	1	1	1	
