TemperatureC,Vitesse:0,Vitesse:1,Vitesse:2,FractionLiq,Concentration_carbon,Concentration_chromium,FractionBCC,FractionFCC,FractionM7C3,FractionCementite,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
106.64,6.83552e-017,-4.15908e-017,3.46822e-017,0,1.96306,29.8311,0.723222,0.0022026,0,0.274575,1,0.0081,-0.00297761,-0.00304722,0.0081,54,0
106.726,5.56459e-017,-6.955e-017,-2.03191e-017,0,1.96387,29.8378,0.723153,0.00215793,0,0.274689,1,0.00825,-0.00297761,-0.00304722,0.00825,55,0
106.811,4.15153e-017,-1.98003e-017,9.17936e-017,0,1.96436,29.8457,0.723153,0.00208919,0,0.274758,1,0.0084,-0.00297761,-0.00304722,0.0084,56,0
106.896,3.15093e-017,-8.32174e-017,1.72804e-017,0,1.96532,29.8512,0.723145,0.00196352,0,0.274892,1,0.00855,-0.00297761,-0.00304722,0.00855,57,0
106.98,3.57019e-017,-1.37449e-016,-5.952e-017,0,1.96596,29.8577,0.723144,0.00187621,0,0.27498,1,0.0087,-0.00297761,-0.00304722,0.0087,58,0
107.065,4.50135e-017,-1.86611e-016,-1.34222e-016,0,1.96646,29.8645,0.723146,0.00180358,0,0.275051,1,0.00885,-0.00297761,-0.00304722,0.00885,59,0
107.149,3.68673e-017,-2.20779e-016,-1.97231e-016,0,1.96704,29.8707,0.723136,0.00173216,0,0.275131,1,0.009,-0.00297761,-0.00304722,0.009,60,0
107.233,1.49534e-017,-1.5854e-016,-1.66482e-016,0,1.96747,29.8682,0.723147,0.00166085,0,0.275192,1,0.00915,-0.00297761,-0.00304722,0.00915,61,0
107.317,-1.25911e-018,-5.27795e-017,-8.94355e-017,0,1.96777,29.86,0.723182,0.00158337,0,0.275234,1,0.0093,-0.00297761,-0.00304722,0.0093,62,0
107.4,-8.68904e-018,4.11055e-017,-2.06131e-017,0,1.96806,29.8511,0.723226,0.00149919,0,0.275274,1,0.00945,-0.00297761,-0.00304722,0.00945,63,0
107.484,-1.61189e-017,1.3499e-016,4.82089e-017,0,1.96835,29.8422,0.72327,0.00141502,0,0.275315,1,0.0096,-0.00297761,-0.00304722,0.0096,64,0
107.567,-2.62281e-017,2.25766e-016,1.11292e-016,0,1.96885,29.837,0.723284,0.00133039,0,0.275386,1,0.00975,-0.00297761,-0.00304722,0.00975,65,0
107.649,-5.01453e-017,2.0207e-016,7.81928e-017,0,1.96999,29.8496,0.723193,0.00126186,0,0.275545,1,0.0099,-0.00297761,-0.00304722,0.0099,66,0
107.732,-7.65123e-017,1.7895e-016,5.29821e-017,0,1.97099,29.8617,0.723116,0.0011995,0,0.275685,1,0.01005,-0.00297761,-0.00304722,0.01005,67,0
107.814,-7.48252e-017,1.12471e-016,2.34185e-017,0,1.97197,29.8753,0.723034,0.00114468,0,0.275821,1,0.0102,-0.00297761,-0.00304722,0.0102,68,0
107.897,-5.41965e-017,2.00892e-017,-7.9248e-018,0,1.97271,29.8874,0.722975,0.00110131,0,0.275924,1,0.01035,-0.00297761,-0.00304722,0.01035,69,0
107.979,-3.35676e-017,-7.22928e-017,-3.92683e-017,0,1.97345,29.8996,0.722915,0.00105794,0,0.276028,1,0.0105,-0.00297761,-0.00304722,0.0105,70,0
108.061,4.51631e-018,-6.01448e-017,-1.61891e-016,0,1.97296,29.9005,0.723003,0.00103787,0,0.27596,1,0.01065,-0.00297761,-0.00304722,0.01065,71,0
108.142,-2.71277e-017,-3.48096e-017,-7.75505e-017,0,1.97236,29.8945,0.723126,0.000999056,0,0.275876,1,0.0108,-0.00297761,-0.00304722,0.0108,72,0
108.223,-5.68395e-017,1.42752e-017,-9.61652e-017,0,1.97186,29.8953,0.723216,0.000978303,0,0.275806,1,0.01095,-0.00297761,-0.00304722,0.01095,73,0
108.304,-6.98685e-017,4.86329e-017,-7.91339e-017,0,1.97094,29.8906,0.723368,0.00095443,0,0.275678,1,0.0111,-0.00297761,-0.00304722,0.0111,74,0
108.385,-5.90296e-017,6.19203e-017,-1.11051e-017,0,1.96942,29.8782,0.72361,0.000926092,0,0.275465,1,0.01125,-0.00297761,-0.00304722,0.01125,75,0
108.465,-4.81906e-017,7.52076e-017,5.69238e-017,0,1.96789,29.8658,0.723851,0.000897754,0,0.275251,1,0.0114,-0.00297761,-0.00304722,0.0114,76,0
108.546,-2.4172e-017,7.34102e-017,8.72434e-017,0,1.96704,29.8586,0.724003,0.000865486,0,0.275132,1,0.01155,-0.00297761,-0.00304722,0.01155,77,0
108.625,-3.58225e-018,5.39122e-017,5.68711e-017,0,1.9661,29.8538,0.724127,0.000873619,0,0.275,1,0.0117,-0.00297761,-0.00304722,0.0117,78,0
108.705,1.02297e-017,2.91522e-017,3.44449e-018,0,1.96486,29.8487,0.724266,0.000907483,0,0.274827,1,0.01185,-0.00297761,-0.00304722,0.01185,79,0
108.785,2.40416e-017,4.3921e-018,-4.99821e-017,0,1.96362,29.8436,0.724405,0.000941346,0,0.274654,1,0.012,-0.00297761,-0.00304722,0.012,80,0
108.864,6.91398e-017,5.20962e-017,-6.09247e-017,0,1.96299,29.8377,0.724542,0.000892966,0,0.274565,1,0.01215,-0.00297761,-0.00304722,0.01215,81,0
108.943,1.17143e-016,1.0653e-016,-6.79215e-017,0,1.96241,29.8317,0.724679,0.000836948,0,0.274484,1,0.0123,-0.00297761,-0.00304722,0.0123,82,0
109.022,1.61358e-016,1.56825e-016,-6.80975e-017,0,1.96176,29.8256,0.724825,0.000781474,0,0.274393,1,0.01245,-0.00297761,-0.00304722,0.01245,83,0
109.1,1.6784e-016,1.659e-016,-3.43999e-019,0,1.96042,29.8183,0.725062,0.00073142,0,0.274206,1,0.0126,-0.00297761,-0.00304722,0.0126,84,0
109.179,1.74322e-016,1.74975e-016,6.7409e-017,0,1.95909,29.8111,0.725299,0.000681367,0,0.274019,1,0.01275,-0.00297761,-0.00304722,0.01275,85,0
109.257,1.48051e-016,1.66893e-016,1.05571e-016,0,1.95901,29.8137,0.725354,0.000638032,0,0.274008,1,0.0129,-0.00297761,-0.00304722,0.0129,86,0
109.335,5.92697e-017,9.7425e-017,5.49843e-017,0,1.95992,29.8243,0.725267,0.0005971,0,0.274135,1,0.01305,-0.00297761,-0.00304722,0.01305,87,0
109.412,-2.95119e-017,2.79567e-017,4.39781e-018,0,1.96083,29.8349,0.725181,0.000556167,0,0.274262,1,0.0132,-0.00297761,-0.00304722,0.0132,88,0
109.49,-1.18293e-016,-4.15112e-017,-4.61884e-017,0,1.96174,29.8456,0.725095,0.000515235,0,0.27439,1,0.01335,-0.00297761,-0.00304722,0.01335,89,0
109.568,-1.9244e-016,-1.01016e-016,-1.0791e-016,0,1.96247,29.8544,0.725035,0.000471914,0,0.274493,1,0.0135,-0.00297761,-0.00304722,0.0135,90,0
109.645,-1.84427e-016,-1.1113e-016,-1.94924e-016,0,1.96222,29.8522,0.725123,0.000418808,0,0.274458,1,0.01365,-0.00297761,-0.00304722,0.01365,91,0
109.721,-2.0205e-016,-1.47941e-016,-1.82076e-016,0,1.96266,29.8573,0.725119,0.000361808,0,0.274519,1,0.0138,-0.00297761,-0.00304722,0.0138,92,0
109.797,-1.89252e-016,-1.32408e-016,-1.48801e-016,0,1.96254,29.8571,0.725173,0.000324639,0,0.274503,1,0.01395,-0.00297761,-0.00304722,0.01395,93,0
109.873,-1.59023e-016,-9.20856e-017,-1.07491e-016,0,1.96212,29.8538,0.725258,0.000297818,0,0.274444,1,0.0141,-0.00297761,-0.00304722,0.0141,94,0
109.949,-1.28795e-016,-5.17631e-017,-6.61806e-017,0,1.9617,29.8505,0.725344,0.000270997,0,0.274385,1,0.01425,-0.00297761,-0.00304722,0.01425,95,0
110.025,-9.85663e-017,-1.14408e-017,-2.48708e-017,0,1.96128,29.8472,0.72543,0.000244176,0,0.274326,1,0.0144,-0.00297761,-0.00304722,0.0144,96,0
110.102,-6.83378e-017,2.88815e-017,1.6439e-017,0,1.96086,29.8439,0.725515,0.000217355,0,0.274267,1,0.01455,-0.00297761,-0.00304722,0.01455,97,0
110.178,-6.46486e-017,6.18625e-017,4.31168e-017,0,1.96057,29.844,0.725588,0.00018613,0,0.274226,1,0.0147,-0.00297761,-0.00304722,0.0147,98,0
110.253,-7.94639e-017,7.04649e-017,2.99265e-017,0,1.96051,29.8468,0.725622,0.000160477,0,0.274217,1,0.01485,-0.00297761,-0.00304722,0.01485,99,0
110.327,-6.31795e-017,7.63068e-017,1.63797e-017,0,1.96038,29.8456,0.725655,0.000145086,0,0.2742,1,0.015,-0.00297761,-0.00304722,0.015,100,0
110.402,-4.68952e-017,8.21486e-017,2.83288e-018,0,1.96026,29.8445,0.725687,0.000129695,0,0.274183,1,0.01515,-0.00297761,-0.00304722,0.01515,101,0
110.477,-2.63112e-017,7.98855e-017,-5.88093e-018,0,1.96027,29.8432,0.725689,0.000126884,0,0.274184,1,0.0153,-0.00297761,-0.00304722,0.0153,102,0
110.552,-8.8479e-019,5.91834e-017,-1.00721e-017,0,1.96046,29.842,0.725641,0.000148248,0,0.27421,1,0.01545,-0.00297761,-0.00304722,0.01545,103,0
110.626,1.34754e-017,2.42597e-017,-3.01721e-017,0,1.96041,29.8423,0.725621,0.000174939,0,0.274204,1,0.0156,-0.00297761,-0.00304722,0.0156,104,0
110.701,3.98429e-017,4.15392e-017,-2.49656e-017,0,1.95958,29.833,0.725715,0.000197158,0,0.274088,1,0.01575,-0.00297761,-0.00304722,0.01575,105,0
110.774,1.52909e-017,6.29791e-017,-5.84092e-017,0,1.95909,29.8283,0.725783,0.000197363,0,0.274019,1,0.0159,-0.00297761,-0.00304722,0.0159,106,0
110.848,-8.28189e-018,7.12991e-017,-6.58817e-017,0,1.95924,29.8294,0.72578,0.000179445,0,0.27404,1,0.01605,-0.00297761,-0.00304722,0.01605,107,0
110.921,-1.20859e-017,8.20966e-017,-2.91401e-017,0,1.95966,29.8318,0.725751,0.000149299,0,0.274099,1,0.0162,-0.00297761,-0.00304722,0.0162,108,0
110.995,-1.589e-017,9.2894e-017,7.60143e-018,0,1.96008,29.8342,0.725722,0.000119153,0,0.274158,1,0.01635,-0.00297761,-0.00304722,0.01635,109,0
111.068,-1.9694e-017,1.03691e-016,4.43425e-017,0,1.9605,29.8366,0.725694,8.90073e-005,0,0.274217,1,0.0165,-0.00297761,-0.00304722,0.0165,110,0
111.141,-2.34981e-017,1.14489e-016,8.10841e-017,0,1.96092,29.839,0.725665,5.88613e-005,0,0.274276,1,0.01665,-0.00297761,-0.00304722,0.01665,111,0
111.214,-1.97912e-017,1.05196e-016,1.28808e-016,0,1.96199,29.8473,0.725547,2.78346e-005,0,0.274425,1,0.0168,-0.00297761,-0.00304722,0.0168,112,0
111.287,-7.15405e-018,8.02537e-017,1.85502e-016,0,1.96373,29.8616,0.725331,4.73875e-008,0,0.274669,1,0.01695,-0.00297761,-0.00304722,0.01695,113,0
111.359,-2.95202e-017,8.00435e-017,1.37317e-016,0,1.96418,29.8605,0.725269,1.10778e-007,0,0.274731,1,0.0171,-0.00297761,-0.00304722,0.0171,114,0
111.431,-5.09736e-017,7.87251e-017,8.81378e-017,0,1.96457,29.8593,0.725213,1.44855e-007,0,0.274787,1,0.01725,-0.00297761,-0.00304722,0.01725,115,0
111.503,-6.64396e-017,6.97977e-017,3.30126e-017,0,1.96473,29.857,0.72519,8.43206e-007,0,0.274809,1,0.0174,-0.00297761,-0.00304722,0.0174,116,0
111.575,-7.84863e-017,5.02107e-017,-1.48631e-017,0,1.96556,29.8578,0.725057,1.77977e-005,0,0.274925,1,0.01755,-0.00297761,-0.00304722,0.01755,117,0
111.647,-9.05329e-017,3.06237e-017,-6.27388e-017,0,1.9664,29.8585,0.724923,3.47522e-005,0,0.275042,1,0.0177,-0.00297761,-0.00304722,0.0177,118,0
111.719,-1.02344e-016,1.13153e-017,-1.07086e-016,0,1.96716,29.8592,0.724809,4.20067e-005,0,0.275149,1,0.01785,-0.00297761,-0.00304722,0.01785,119,0
111.79,-1.12153e-016,-5.70514e-018,-1.22916e-016,0,1.96767,29.8593,0.72478,0,0,0.27522,1,0.018,-0.00297761,-0.00304722,0.018,120,0
111.861,-1.03211e-016,-1.34132e-017,-7.07011e-017,0,1.96886,29.8591,0.724613,5.82042e-007,0,0.275386,1,0.01815,-0.00297761,-0.00304722,0.01815,121,0
111.932,-7.64574e-017,-1.59324e-017,-1.2748e-017,0,1.96991,29.8601,0.724465,1.9184e-006,0,0.275533,1,0.0183,-0.00297761,-0.00304722,0.0183,122,0
112.003,-4.97042e-017,-1.84517e-017,4.52051e-017,0,1.97096,29.8611,0.724316,3.25475e-006,0,0.275681,1,0.01845,-0.00297761,-0.00304722,0.01845,123,0
112.074,-2.29513e-017,-2.09709e-017,1.03157e-016,0,1.97202,29.8622,0.724167,4.59109e-006,0,0.275828,1,0.0186,-0.00297761,-0.00304722,0.0186,124,0
112.144,-1.76868e-018,-7.43643e-018,1.23841e-016,0,1.9731,29.867,0.724016,5.09165e-006,0,0.275979,1,0.01875,-0.00297761,-0.00304722,0.01875,125,0
112.214,3.06953e-018,3.7265e-017,5.96783e-017,0,1.9741,29.881,0.723877,3.14807e-006,0,0.27612,1,0.0189,-0.00297761,-0.00304722,0.0189,126,0
112.284,7.90768e-018,8.19659e-017,-4.48386e-018,0,1.97511,29.8949,0.723739,1.20452e-006,0,0.27626,1,0.01905,-0.00297761,-0.00304722,0.01905,127,0
112.354,3.33491e-017,1.04347e-016,-7.87655e-017,0,1.9766,29.9104,0.723532,0,0,0.276468,1,0.0192,-0.00297761,-0.00304722,0.0192,128,0
112.424,9.10983e-017,9.06184e-017,-1.67661e-016,0,1.97881,29.9279,0.723222,0,0,0.276778,1,0.01935,-0.00297761,-0.00304722,0.01935,129,0
112.493,6.89846e-017,8.43283e-017,-1.53704e-016,0,1.9777,29.9154,0.723377,0,0,0.276623,1,0.0195,-0.00297761,-0.00304722,0.0195,130,0
112.563,4.62344e-017,7.7967e-017,-1.39132e-016,0,1.97658,29.9029,0.723534,0,0,0.276466,1,0.01965,-0.00297761,-0.00304722,0.01965,131,0
112.632,3.03208e-017,5.62273e-017,-1.2128e-016,0,1.97586,29.8948,0.723635,0,0,0.276365,1,0.0198,-0.00297761,-0.00304722,0.0198,132,0
112.701,2.17876e-017,1.78847e-017,-9.98865e-017,0,1.97557,29.8914,0.723675,0,0,0.276325,1,0.01995,-0.00297761,-0.00304722,0.01995,133,0
112.769,4.25072e-017,1.57937e-017,-9.61398e-017,0,1.97558,29.8901,0.723673,0,0,0.276327,1,0.0201,-0.00297761,-0.00304722,0.0201,134,0
112.838,6.20272e-017,1.96865e-017,-9.07364e-017,0,1.9757,29.8903,0.723656,0,0,0.276344,1,0.02025,-0.00297761,-0.00304722,0.02025,135,0
112.906,4.64024e-017,9.40501e-018,-6.04615e-017,0,1.97593,29.8945,0.723624,0,0,0.276376,1,0.0204,-0.00297761,-0.00304722,0.0204,136,0
112.974,3.07776e-017,-8.76435e-019,-3.01865e-017,0,1.97616,29.8987,0.723592,0,0,0.276408,1,0.02055,-0.00297761,-0.00304722,0.02055,137,0
113.042,1.51531e-017,-1.11577e-017,8.8141e-020,0,1.97639,29.9028,0.723561,0,0,0.276439,1,0.0207,-0.00297761,-0.00304722,0.0207,138,0
113.11,-1.02359e-017,-1.67216e-017,2.6291e-017,0,1.97653,29.9054,0.72354,0,0,0.27646,1,0.02085,-0.00297761,-0.00304722,0.02085,139,0
113.178,-4.93868e-017,-1.56362e-017,4.67545e-017,0,1.97656,29.9057,0.723537,0,0,0.276463,1,0.021,-0.00297761,-0.00304722,0.021,140,0
113.245,-8.85372e-017,-1.45508e-017,6.72177e-017,0,1.97659,29.906,0.723533,0,0,0.276467,1,0.02115,-0.00297761,-0.00304722,0.02115,141,0
113.312,-1.11077e-016,-2.01167e-017,7.86125e-017,0,1.97683,29.9061,0.723499,0,0,0.276501,1,0.0213,-0.00297761,-0.00304722,0.0213,142,0
113.38,-1.12743e-016,-9.43344e-018,5.09313e-017,0,1.978,29.9136,0.723335,0,0,0.276665,1,0.02145,-0.00297761,-0.00304722,0.02145,143,0
113.447,-1.14409e-016,1.24973e-018,2.32505e-017,0,1.97917,29.9212,0.723172,0,0,0.276828,1,0.0216,-0.00297761,-0.00304722,0.0216,144,0
113.514,-1.16075e-016,1.1933e-017,-4.4307e-018,0,1.98034,29.9288,0.723008,0,0,0.276992,1,0.02175,-0.00297761,-0.00304722,0.02175,145,0
113.58,-9.70557e-017,2.25242e-017,-3.7495e-017,0,1.98143,29.9351,0.722856,0,0,0.277144,1,0.0219,-0.00297761,-0.00304722,0.0219,146,0
113.646,-3.9873e-017,2.65478e-017,-7.15272e-017,0,1.98228,29.9369,0.722737,0,0,0.277263,1,0.02205,-0.00297761,-0.00304722,0.02205,147,0
113.712,1.73096e-017,3.05714e-017,-1.05559e-016,0,1.98312,29.9388,0.722619,0,0,0.277381,1,0.0222,-0.00297761,-0.00304722,0.0222,148,0
113.778,3.41241e-017,2.34194e-017,-9.17436e-017,0,1.98432,29.9411,0.722451,0,0,0.277549,1,0.02235,-0.00297761,-0.00304722,0.02235,149,0
113.844,1.26529e-017,5.66808e-018,-3.25478e-017,0,1.98585,29.944,0.722237,0,0,0.277763,1,0.0225,-0.00297761,-0.00304722,0.0225,150,0
113.909,-8.81821e-018,-1.20832e-017,2.66481e-017,0,1.98738,29.9469,0.722023,0,0,0.277977,1,0.02265,-0.00297761,-0.00304722,0.02265,151,0
113.975,-3.01956e-017,-2.96333e-017,8.57851e-017,0,1.98891,29.9498,0.72181,0,0,0.27819,1,0.0228,-0.00297761,-0.00304722,0.0228,152,0
