TemperatureC,Vitesse0,Vitesse1,Vitesse2,FractionLiq,Concentration_carbon,Concentration_chromium,FractionBCC,FractionFCC,FractionM7C3,FractionCementite,vtkValidPointMask,arc_length,Points0,Points1,Points2,vtkOriginalIndices,__vtkIsSelected__
105.774,2.74655e-017,4.00076e-018,-1.49615e-016,0,1.94564,29.78,0.723772,0.00408946,0,0.272138,1,0.0066,-4.49829e-007,5.49946e-007,0.0066,44,0
105.861,2.59811e-017,2.41296e-017,-1.29421e-016,0,1.94484,29.7778,0.723881,0.0040913,0,0.272027,1,0.00675,-4.49829e-007,5.49946e-007,0.00675,45,0
105.949,1.63999e-017,4.43533e-017,-9.09195e-017,0,1.94424,29.7765,0.723978,0.00407876,0,0.271943,1,0.0069,-4.49829e-007,5.49946e-007,0.0069,46,0
106.036,6.81863e-018,6.45768e-017,-5.24182e-017,0,1.94364,29.7752,0.724075,0.00406621,0,0.271858,1,0.00705,-4.49829e-007,5.49946e-007,0.00705,47,0
106.123,-2.76263e-018,8.48004e-017,-1.39168e-017,0,1.94303,29.7738,0.724171,0.00405366,0,0.271774,1,0.0072,-4.49829e-007,5.49946e-007,0.0072,48,0
106.21,-2.61175e-017,9.47225e-017,4.68545e-018,0,1.94232,29.7703,0.724289,0.00403595,0,0.271674,1,0.00735,-4.49829e-007,5.49946e-007,0.00735,49,0
106.297,-6.75694e-017,9.49882e-017,4.13894e-017,0,1.94183,29.7683,0.72439,0.00400299,0,0.271606,1,0.0075,-4.49829e-007,5.49946e-007,0.0075,50,0
106.384,-8.99543e-017,9.29499e-017,7.2322e-017,0,1.94135,29.7651,0.7245,0.00395998,0,0.271539,1,0.00765,-4.49829e-007,5.49946e-007,0.00765,51,0
106.469,-3.74018e-017,9.51917e-017,7.9233e-017,0,1.94139,29.7639,0.724576,0.00387963,0,0.271544,1,0.0078,-4.49829e-007,5.49946e-007,0.0078,52,0
106.555,7.41885e-018,9.29801e-017,8.30275e-017,0,1.94132,29.7615,0.724665,0.00380068,0,0.271534,1,0.00795,-4.49829e-007,5.49946e-007,0.00795,53,0
106.64,1.73407e-017,7.06679e-017,7.27558e-017,0,1.94079,29.7539,0.724812,0.00372805,0,0.27146,1,0.0081,-4.49829e-007,5.49946e-007,0.0081,54,0
106.726,2.72625e-017,4.83557e-017,6.2484e-017,0,1.94026,29.7463,0.724958,0.00365543,0,0.271386,1,0.00825,-4.49829e-007,5.49946e-007,0.00825,55,0
